,institution_main,professors,associateprof,assistantprof,instructors,lecturers,state,instlevel,instcontrol,hbcuflag,tribalflag,degofurbanization,instsize,gradrate4yrs,gradrate5yrs,gradrate6yrs,transferrate,gradrate,instructionalstaff,researchstaff,publicservicestaff,academicaffairstaff,publicflag,postsecondaryflag,yearsofcollegerequired,inststatus,postsecondaryprimary,activeflag,titleiveligible,admissionsmen,admissionswomen,admissionstotal,applicantsmen,applicantswomen,applicantstotal,enrolledmen,enrolledwomen,enrolledtotal,retentionrate_fulltime,retentionrate_parttime,studenttofacultyratio,associatesflag,bachelorsflag,mastersflag,phdresearchflag,phdproflag,predominantdemo_bachelors,predominantdemo_masters,predominantdemo_phd,sat25thperreading,sat75thperreading,sat25thpermath,sat75thpermath,act25thpercomp,act75thpercomp,act25thpereng,act75thpereng,act25thpermath,act75thpermath
1220,MCPHS University,62,92,117,16,0,MA,1,2,2,2,11,3,54,63,66,22,70,507,0,0,94,1,1,-2,A,1,1,1,589,-347,3247,2466,-1958,4481,814,17,1515,82,45,18,1.0,0,0,0,0,White,Asian,White,455,625,502,661,22,22,23,27,22,24
1221,Meadville Lombard Theological School,2,1,1,0,0,IL,1,2,2,2,11,1,22,34,71,20,50,9,0,0,4,1,1,-2,R,1,1,1,589,-347,3247,2466,-1958,4481,814,17,1515,42,45,29,1.0,0,0,0,0,White,Asian,White,455,625,502,661,22,22,23,27,22,24
1222,Mechon L'hoyroa,166,182,201,56,19,NY,1,2,2,2,21,1,22,34,71,20,50,7,4,0,0,1,1,-2,A,1,1,1,589,-347,3247,2466,-1958,4481,814,17,1515,72,45,35,1.0,0,0,0,0,White,Asian,White,455,625,502,661,22,22,23,27,22,24
1223,Medaille College,9,17,40,1,0,NY,1,2,2,2,11,2,30,35,36,2,37,124,2,0,52,1,1,-2,R,1,1,1,589,-347,3247,2466,-1958,4481,814,17,1515,81,45,30,1.0,0,0,0,0,White,Asian,White,455,625,502,661,22,22,23,27,22,24
1224,Medical Allied Career Center,166,182,201,56,19,CA,1,3,2,2,21,1,22,34,71,20,76,5,0,0,0,1,1,-2,A,1,1,1,589,-347,3247,2466,-1958,4481,814,17,1515,83,45,110,0.0,-2,-2,-2,-2,White,Asian,White,455,625,502,661,22,22,23,27,22,24
1225,Medical College of Wisconsin,412,374,816,103,0,WI,1,2,2,2,21,2,22,34,71,20,50,1836,0,0,0,1,1,-2,A,1,1,1,589,-347,3247,2466,-1958,4481,814,17,1515,83,45,25,1.0,0,0,0,0,White,Asian,White,455,625,502,661,22,22,23,27,22,24
1226,Medical University of South Carolina,57,57,43,32,0,SC,1,1,2,2,12,2,22,34,71,20,50,297,1057,0,0,1,1,-2,A,1,1,1,589,-347,3247,2466,-1958,4481,814,17,1515,64,45,50,1.0,0,0,0,0,White,Asian,White,455,625,502,661,22,22,23,27,22,24
1227,Meharry Medical College,51,59,84,6,0,TN,1,2,1,2,11,1,22,34,71,20,50,205,1,2,36,1,1,2,A,1,1,1,589,-347,3247,2466,-1958,4481,814,17,1515,82,45,14,1.0,1,0,0,0,White,Asian,White,455,625,502,661,22,22,23,27,22,24
1228,Memphis College of Art,166,182,201,56,19,TN,1,2,2,2,11,-1,22,34,71,20,50,-149,-5,74,60,1,1,-2,R,1,1,1,589,-347,3247,2466,-1958,4481,814,17,1515,65,45,17,1.0,0,0,0,0,White,Asian,White,455,625,502,661,22,22,23,27,22,24
1229,Menlo College,5,7,2,0,3,CA,1,2,2,2,21,1,46,51,54,20,54,44,0,0,47,1,1,-2,R,1,1,1,589,-347,3247,2466,-1958,4481,814,17,1515,55,45,37,1.0,0,0,0,0,White,Asian,White,455,625,502,661,22,22,23,27,22,24
1230,Mercer University,129,133,137,19,19,GA,1,2,2,2,12,3,62,72,73,21,73,533,23,41,55,1,1,-2,A,1,1,1,589,-347,3247,2466,-1958,4481,814,17,1515,64,45,51,1.0,0,0,0,0,White,Asian,White,455,625,502,661,22,22,23,27,22,24
1231,Mercy College,28,68,112,17,0,NY,1,2,2,2,21,3,33,44,48,28,48,463,0,0,21,1,1,-2,R,1,1,1,589,-347,3247,2466,-1958,4481,814,17,1515,64,45,42,1.0,0,0,0,0,White,Asian,White,455,625,502,661,22,22,23,27,22,24
1232,Mercy College of Health Sciences,6,3,46,6,0,IA,1,2,2,2,12,1,54,54,54,20,51,84,0,0,16,1,1,-2,R,1,1,1,589,-347,3247,2466,-1958,4481,814,17,1515,78,45,25,1.0,0,0,0,0,White,Asian,White,455,625,502,661,22,22,23,27,22,24
1233,Mercy College of Ohio,4,14,44,2,0,OH,1,2,2,2,11,2,33,33,33,26,49,118,0,0,35,1,1,-2,A,1,1,1,439,619,1058,616,833,1449,110,160,270,84,100,11,1.0,1,1,0,0,White,UnknownEthnicity,White,550,650,540,640,22,27,21,27,20,26
1234,Mercyhurst University,22,38,49,11,7,PA,1,2,2,2,13,2,63,68,70,22,71,155,0,0,8,1,1,-2,A,1,1,1,589,-347,3247,2466,-1958,4481,814,17,1515,68,45,14,1.0,0,0,0,0,White,Asian,White,455,625,502,661,22,22,23,27,22,24
1235,Meredith College,52,30,42,4,0,NC,1,2,2,2,11,2,57,62,64,30,64,155,0,8,38,1,1,-2,A,1,1,1,974,1980,2954,1533,2583,4116,194,506,700,82,45,14,0.0,1,1,0,1,White,White,White,530,610,520,623,21,26,20,26,19,26
1236,Meridian University,4,0,0,0,0,CA,1,3,2,2,13,1,22,34,71,20,50,16,1,0,0,1,1,-2,A,1,1,1,833,1564,2397,1072,1950,3022,184,199,383,69,0,14,1.0,1,1,1,0,White,White,White,480,560,470,570,19,25,16,25,17,24
1237,Merrimack College,30,81,70,0,22,MA,1,2,2,2,21,3,69,73,74,9,74,275,0,0,135,1,1,-2,A,1,1,5,589,-347,3247,2466,-1958,4481,814,17,1515,82,45,11,0.0,-2,-2,-2,-2,White,Asian,White,455,625,502,661,22,22,23,27,22,24
1238,Mesivta of Eastern Parkway-Yeshiva Zichron Meilech,166,182,201,56,19,NY,1,2,2,2,11,1,0,0,0,20,100,3,0,0,0,1,1,-2,A,1,1,1,589,-347,3247,2466,-1958,4481,814,17,1515,52,20,8,1.0,0,0,0,0,White,Asian,White,455,625,502,661,22,22,23,27,22,24
1239,Mesivta Torah Vodaath Rabbinical Seminary,166,182,201,56,19,NY,1,2,2,2,11,1,0,38,38,63,38,9,0,0,0,1,1,-2,A,1,1,1,2058,3382,5440,2678,4421,7099,347,377,724,79,40,13,0.0,1,1,0,0,White,White,White,500,610,500,620,20,27,20,28,18,26
1240,Mesivtha Tifereth Jerusalem of America,166,182,201,56,19,NY,1,2,2,2,11,1,0,0,9,20,9,9,0,0,0,1,1,-2,A,1,1,1,589,-347,3247,2466,-1958,4481,814,17,1515,82,45,9,0.0,-2,-2,-2,-2,White,Asian,White,455,625,502,661,22,22,23,27,22,24
1241,Messenger College,166,182,201,56,19,TX,1,2,2,2,21,1,0,14,29,43,19,4,0,0,4,1,1,-2,A,1,1,1,589,-347,3247,2466,-1958,4481,814,17,1515,98,45,16,1.0,0,0,0,0,White,Asian,White,455,625,502,661,22,22,23,27,22,24
1242,Messiah University,74,50,51,0,20,PA,1,2,2,2,21,2,75,78,79,17,79,244,0,0,27,1,1,2,A,1,1,1,589,-347,3247,2466,-1958,4481,814,17,1515,80,45,14,1.0,1,0,0,0,Asian,Asian,White,455,625,502,661,22,22,23,27,22,24
1243,Methodist College,3,2,14,21,0,IL,1,2,2,2,12,1,50,75,100,20,100,51,0,0,15,1,1,-2,A,1,1,1,589,-347,3247,2466,-1958,4481,814,17,1515,80,100,3,0.0,0,0,0,0,White,Asian,White,455,625,502,661,22,22,23,27,22,24
1244,Methodist Theological School in Ohio,5,3,4,0,0,OH,1,2,2,2,21,1,22,34,71,20,50,16,0,0,2,1,1,-2,A,1,1,1,589,-347,3247,2466,-1958,4481,814,17,1515,43,45,9,0.0,-2,-2,-2,-2,White,Asian,White,455,625,502,661,22,22,23,27,22,24
1245,Methodist University,41,45,42,16,0,NC,1,2,2,2,12,2,24,38,40,20,39,172,0,0,5,1,1,-2,A,1,1,1,4562,4242,8804,15390,13694,29084,707,598,1305,93,45,11,0.0,1,1,1,1,White,White,White,640,730,700,790,31,34,29,34,31,34
1246,Metropolitan College of New York,10,8,3,0,0,NY,1,2,2,2,11,1,15,21,21,18,29,64,0,0,28,1,1,-2,A,1,1,1,589,-347,3247,2466,-1958,4481,814,17,1515,64,35,14,1.0,0,0,0,0,White,Asian,White,455,625,502,661,22,22,23,27,22,24
1247,Metropolitan State University,40,58,46,0,0,MN,1,1,2,2,11,3,13,41,46,28,46,302,0,0,162,1,2,-2,A,2,1,1,589,2,2,0,2,2,814,2,2,100,45,10,0.0,-2,-2,-2,-2,White,Asian,White,455,625,502,661,22,22,23,27,22,24
1248,Metropolitan State University of Denver,221,136,92,0,109,CO,1,1,2,2,11,4,11,25,32,33,32,762,0,0,66,1,1,-2,A,1,1,1,860,847,1707,996,937,1933,157,141,298,61,0,14,1.0,1,1,0,0,White,White,White,470,580,470,560,16,22,14,22,16,22
1249,MGH Institute of Health Professions,12,19,47,19,0,MA,1,2,2,2,11,2,22,34,71,20,50,106,18,0,21,1,1,-2,A,1,1,1,811,885,1696,1585,1669,3254,208,157,365,72,45,12,0.0,1,1,0,0,White,Asian,White,470,570,470,570,17,22,15,21,17,23
1250,Miami Dade College,185,270,164,118,0,FL,1,1,2,2,11,5,22,34,71,7,33,1390,0,0,346,1,1,-2,A,1,1,1,589,-347,3247,2466,-1958,4481,814,17,1515,61,39,12,1.0,0,0,0,0,White,Asian,White,455,625,502,661,22,22,23,27,22,24
1251,Miami International University of Art & Design-Art Institute Dallas,0,0,0,4,0,TX,1,3,2,2,11,1,14,14,14,20,15,14,0,0,2,1,1,-2,A,1,1,1,589,-347,3247,2466,-1958,4481,814,17,1515,89,91,12,0.0,-2,-2,-2,-2,White,Asian,White,455,625,502,661,22,22,23,27,22,24
1252,Miami Regional University,1,3,67,0,0,FL,1,3,2,2,21,1,22,34,71,20,51,82,0,0,28,1,1,2,A,1,1,1,589,-347,3247,2466,-1958,4481,814,17,1515,82,100,4,1.0,1,1,0,0,White,White,White,455,625,502,661,22,22,23,27,22,24
1253,Miami University-Hamilton,14,34,18,4,18,OH,1,1,2,2,21,2,6,13,15,80,16,125,0,0,30,1,1,4,A,1,1,1,589,-347,3247,2466,-1958,4481,814,17,1515,82,45,11,0.0,0,1,0,0,White,White,White,455,625,502,661,22,22,23,27,22,24
1254,Miami University-Middletown,9,13,9,1,10,OH,1,1,2,2,23,2,1,10,13,78,15,53,0,0,28,1,1,-2,A,1,1,1,589,-347,3247,2466,-1958,4481,814,17,1515,82,69,5,0.0,-2,-2,-2,-2,White,Asian,White,455,625,502,661,22,22,23,27,22,24
1255,Miami University-Oxford,233,212,182,40,137,OH,1,1,2,2,31,4,71,80,82,13,82,903,34,0,101,1,1,-2,A,1,1,1,589,-347,3247,2466,-1958,4481,814,17,1515,82,45,12,0.0,-2,-2,-2,-2,White,Asian,White,455,625,502,661,22,22,23,27,22,24
1256,Michigan School of Psychology,14,0,0,0,0,MI,1,2,2,2,13,1,22,34,71,20,50,19,0,0,5,1,1,-2,A,1,1,1,589,-347,3247,2466,-1958,4481,814,17,1515,50,17,21,1.0,0,0,0,0,White,Asian,White,455,625,502,661,22,22,23,27,22,24
1257,Michigan State University,898,720,933,202,5,MI,1,1,2,2,13,5,58,79,82,10,81,3155,590,441,758,1,1,-2,A,1,1,1,1,6,7,1,6,7,1,4,5,50,45,9,0.0,-2,-2,-2,-2,White,Asian,White,455,625,502,661,22,22,23,27,22,24
1258,Michigan State University-College of Law,166,182,201,56,19,MI,1,2,2,2,13,-2,22,34,71,20,50,-149,-5,74,60,1,1,-2,A,1,1,1,429,1190,1619,663,1580,2243,37,114,151,65,45,13,1.0,1,1,0,0,White,Asian,White,452,566,441,550,15,22,23,27,22,24
1259,Michigan Technological University,115,117,83,21,60,MI,1,1,2,2,33,3,30,64,72,18,72,406,158,0,45,1,1,2,A,1,1,1,589,-347,3247,2466,-1958,4481,814,17,1515,82,45,20,1.0,1,0,0,0,Asian,Asian,White,455,625,502,661,22,22,23,27,22,24
1260,Mid-America Christian University,7,11,11,2,0,OK,1,2,2,2,11,2,27,28,29,5,43,141,0,0,38,1,1,-2,A,1,1,1,589,-347,3247,2466,-1958,4481,814,17,1515,82,45,12,0.0,-2,-2,-2,-2,White,Asian,White,455,625,502,661,22,22,23,27,22,24
1261,Mid-America College of Funeral Service,166,182,201,56,19,IN,1,2,2,2,21,1,14,14,14,8,92,18,0,0,0,1,1,-2,A,1,1,1,589,-347,3247,2466,-1958,4481,814,17,1515,81,45,14,0.0,-2,-2,-2,-2,White,Asian,White,455,625,502,661,22,22,23,27,22,24
1262,Mid-Atlantic Christian University,5,4,3,2,0,NC,1,2,2,2,32,1,32,36,39,20,38,21,0,0,5,1,1,-2,A,1,1,1,589,-347,3247,2466,-1958,4481,814,17,1515,71,45,32,0.0,-2,-2,-2,-2,White,Asian,White,455,625,502,661,22,22,23,27,22,24
1263,Mid-South Christian College,0,0,0,0,0,TN,1,2,2,2,11,1,67,67,67,20,67,6,0,4,0,1,1,-2,A,1,1,1,589,-347,3247,2466,-1958,4481,814,17,1515,61,42,12,1.0,0,0,0,0,White,Asian,White,455,625,502,661,22,22,23,27,22,24
1264,MidAmerica Nazarene University,29,16,24,0,0,KS,1,2,2,2,21,2,41,47,48,20,48,161,0,0,31,1,1,-2,A,1,1,1,19,952,971,490,1361,1851,5,178,183,80,45,10,0.0,1,1,0,1,White,White,White,490,600,480,570,18,24,16,23,16,24
1265,Middle Georgia State University,57,70,93,3,44,GA,1,1,2,2,12,3,11,23,28,42,23,312,0,0,68,1,3,-1,C,1,3,5,589,-347,3247,2466,-1958,4481,814,17,1515,82,45,11,,-1,-1,-1,-1,White,Asian,White,455,625,502,661,22,22,23,27,22,24
1266,Middle Tennessee School of Anesthesia Inc,6,0,0,0,0,TN,1,2,2,2,11,1,22,34,71,20,50,10,0,0,7,1,1,-2,A,1,1,1,1192,1779,2971,1799,3209,5008,404,514,918,88,100,15,0.0,1,1,0,1,White,White,White,570,680,540,670,23,30,23,33,22,28
1267,Middle Tennessee State University,341,225,183,51,146,TN,1,1,2,2,12,5,30,47,51,24,51,1053,11,0,14,1,1,-2,A,1,1,1,589,-347,3247,2466,-1958,4481,814,17,1515,100,100,11,0.0,-2,-2,-2,-2,White,Asian,White,455,625,502,661,22,22,23,27,22,24
1268,Middlebury College,112,69,92,3,4,VT,1,2,2,2,32,2,87,92,94,3,94,330,0,0,37,1,1,-2,A,1,1,1,589,-347,3247,2466,-1958,4481,814,17,1515,96,90,15,0.0,-2,-2,-2,-2,White,Asian,White,455,625,502,661,22,22,23,27,22,24
1269,Middlebury Institute of International Studies at Monterey,18,23,17,0,0,CA,1,2,2,2,22,1,22,34,71,20,50,79,0,0,4,1,1,-2,A,1,1,1,589,-347,3247,2466,-1958,4481,814,17,1515,80,100,6,0.0,-2,-2,-2,-2,White,Asian,White,455,625,502,661,22,22,23,27,22,24
1270,Midland College,35,53,13,27,0,TX,1,1,2,2,12,2,22,34,71,18,23,191,0,0,46,1,1,-2,A,1,1,1,589,-347,3247,2466,-1958,4481,814,17,1515,82,45,15,1.0,1,0,0,0,Hispanic,Asian,White,455,625,502,661,22,22,23,27,22,24
1271,Midland University,11,16,9,0,0,NE,1,2,2,2,32,2,37,44,44,32,44,90,0,0,52,1,1,-2,A,1,1,1,589,-347,3247,2466,-1958,4481,814,17,1515,36,45,18,1.0,1,0,0,0,Hispanic,Asian,White,455,625,502,661,22,22,23,27,22,24
1272,Midway University,5,4,15,8,0,KY,1,2,2,2,42,2,49,51,53,28,51,62,0,0,9,1,1,-2,A,1,1,1,589,-347,3247,2466,-1958,4481,814,17,1515,100,45,14,1.0,1,0,0,0,Hispanic,Asian,White,455,625,502,661,22,22,23,27,22,24
1273,Midwest College of Oriental Medicine-Racine,166,182,201,56,19,WI,1,3,2,2,22,1,22,34,71,20,50,4,0,0,0,1,1,-2,A,1,1,1,589,-347,3247,2466,-1958,4481,814,17,1515,25,45,16,1.0,1,0,0,0,Hispanic,Asian,White,455,625,502,661,22,22,23,27,22,24
1274,Midwestern Baptist Theological Seminary,4,9,6,0,0,MO,1,2,2,2,11,2,24,38,41,20,40,57,0,0,3,1,1,-2,A,1,1,1,199,350,549,338,524,862,61,92,153,76,45,9,0.0,1,1,0,0,White,White,White,490,600,490,590,22,28,21,29,19,26
1275,Midwestern State University,47,78,85,16,7,TX,1,1,2,2,12,3,22,40,44,28,44,271,0,0,36,1,1,-2,A,1,1,1,446,802,1248,488,854,1342,100,134,234,73,60,10,1.0,1,1,1,0,White,UnknownEthnicity,White,455,560,440,540,15,22,12,23,15,18
1276,Midwestern University-Downers Grove,41,55,108,1,4,IL,1,2,2,2,21,2,22,34,71,20,50,216,25,3,15,1,1,-2,A,1,1,1,589,-347,3247,2466,-1958,4481,814,17,1515,67,45,25,1.0,0,0,0,0,White,Asian,White,455,625,502,661,22,22,23,27,22,24
1277,Midwestern University-Glendale,41,83,162,5,0,AZ,1,2,2,2,21,2,22,34,71,20,50,312,29,2,11,1,1,4,A,1,1,1,589,-347,3247,2466,-1958,4481,814,17,1515,82,45,11,0.0,0,1,0,0,White,Hispanic,White,455,625,502,661,22,22,23,27,22,24
1278,Midwives College of Utah,166,182,201,56,19,UT,1,2,2,2,12,1,22,34,71,20,67,12,0,0,6,1,1,-2,A,1,1,1,589,-347,3247,2466,-1958,4481,814,17,1515,100,45,10,0.0,0,0,0,0,White,Asian,White,455,625,502,661,22,22,23,27,22,24
1279,Miles College,11,5,15,52,0,AL,1,2,1,2,21,2,14,22,24,20,24,92,0,0,24,1,1,-2,A,1,1,1,589,-347,3247,2466,-1958,4481,814,17,1515,82,45,9,0.0,-2,-2,-2,-2,White,Asian,White,455,625,502,661,22,22,23,27,22,24
1280,Millennia Atlantic University,166,182,201,56,19,FL,1,3,2,2,13,1,5,30,30,20,43,8,0,0,4,1,1,-2,A,1,1,1,589,-347,3247,2466,-1958,4481,814,17,1515,82,45,4,0.0,-2,-2,-2,-2,White,Asian,White,455,625,502,661,22,22,23,27,22,24
1281,Millersville University of Pennsylvania,82,108,83,4,0,PA,1,1,2,2,21,3,36,53,56,27,56,317,0,0,0,1,1,-1,A,1,1,5,589,-347,3247,2466,-1958,4481,814,17,1515,82,45,11,,-1,-1,-1,-1,White,Asian,White,455,625,502,661,22,22,23,27,22,24
1282,Milligan University,38,29,28,2,0,TN,1,2,2,2,22,2,61,65,65,20,65,117,0,0,0,1,1,-2,A,1,1,1,1,2,3,1,2,3,1,2,3,100,45,5,0.0,-2,-2,-2,-2,White,Asian,White,455,625,502,661,22,22,23,27,22,24
1283,Millikin University,31,46,40,24,7,IL,1,2,2,2,13,2,44,53,53,20,53,177,0,0,9,1,1,-2,A,1,1,1,589,-347,3247,2466,-1958,4481,814,17,1515,82,45,12,0.0,-2,-2,-2,-2,White,Asian,White,455,625,502,661,22,22,23,27,22,24
1284,Mills College,25,17,34,0,0,CA,1,2,2,2,11,1,57,64,65,20,65,109,3,14,15,1,1,-2,A,1,1,1,589,-347,3247,2466,-1958,4481,814,17,1515,63,45,20,0.0,0,0,0,0,White,Asian,White,455,625,502,661,22,22,23,27,22,24
1285,Millsaps College,25,26,13,7,0,MS,1,2,2,2,12,1,66,67,68,20,68,82,0,0,0,1,1,-2,A,1,1,1,589,-347,3247,2466,-1958,4481,814,17,1515,60,60,8,1.0,0,0,0,0,White,Asian,White,455,625,502,661,22,22,23,27,22,24
1286,Milwaukee Institute of Art & Design,22,12,3,16,0,WI,1,2,2,2,11,1,44,50,51,20,51,87,0,0,17,1,1,3,A,1,1,1,2,7,9,2,9,11,1,3,4,82,45,11,1.0,1,0,0,0,White,Asian,White,455,625,502,661,22,22,23,27,22,24
1287,Milwaukee School of Engineering,40,45,54,21,0,WI,1,2,2,2,11,2,48,65,70,22,70,190,0,0,37,1,1,-2,A,1,1,1,589,-347,3247,2466,-1958,4481,814,17,1515,59,38,15,1.0,0,0,0,0,White,Asian,White,455,625,502,661,22,22,23,27,22,24
1288,Minneapolis College of Art and Design,19,9,4,0,0,MN,1,2,2,2,11,1,54,63,63,17,63,77,0,0,33,1,1,-2,A,1,1,1,589,-347,3247,2466,-1958,4481,814,17,1515,51,32,15,1.0,0,0,0,0,White,Asian,White,455,625,502,661,22,22,23,27,22,24
1289,Minnesota State University Moorhead,106,46,52,5,0,MN,1,1,2,2,22,3,34,51,55,27,55,240,0,0,65,1,1,-2,A,1,1,1,179,85,264,368,162,530,76,45,121,57,45,11,1.0,1,0,0,0,White,Asian,White,425,565,455,535,18,22,16,23,16,22
1290,Minnesota State University-Mankato,182,151,150,11,0,MN,1,1,2,2,13,4,28,45,50,34,51,561,0,0,178,1,1,-2,A,1,1,1,589,-347,3247,2466,-1958,4481,814,17,1515,77,45,16,0.0,0,0,0,0,White,Asian,White,455,625,502,661,22,22,23,27,22,24
1291,Minot State University,33,29,60,22,0,ND,1,1,2,2,33,2,36,50,55,22,55,176,21,6,54,1,1,-2,A,1,1,1,589,-347,3247,2466,-1958,4481,814,17,1515,88,90,10,0.0,-2,-2,-2,-2,White,Asian,White,455,625,502,661,22,22,23,27,22,24
1292,MiraCosta College,0,0,0,180,0,CA,1,1,2,2,21,4,22,34,71,13,36,355,0,0,57,1,1,-2,A,1,1,1,589,-347,3247,2466,-1958,4481,814,17,1515,58,40,13,1.0,0,0,0,0,White,Asian,White,455,625,502,661,22,22,23,27,22,24
1293,Mirrer Yeshiva Cent Institute,3,4,3,0,6,NY,1,2,2,2,11,1,0,11,11,63,11,16,0,0,0,1,1,-2,A,1,1,1,589,-347,3247,2466,-1958,4481,814,17,1515,55,25,14,1.0,0,0,0,0,White,Asian,White,455,625,502,661,22,22,23,27,22,24
1294,Misericordia University,27,35,76,1,0,PA,1,2,2,2,21,2,67,74,74,22,74,192,0,0,37,1,1,-2,A,1,1,1,589,-347,3247,2466,-1958,4481,814,17,1515,64,100,17,1.0,1,0,0,0,White,Asian,White,455,625,502,661,22,22,23,27,22,24
1295,Missio Theological Seminary,3,2,3,0,0,PA,1,2,2,2,11,1,22,34,71,20,50,16,0,0,6,1,1,-2,A,1,1,1,589,-347,3247,2466,-1958,4481,814,17,1515,57,45,8,1.0,1,1,0,0,White,Asian,White,455,625,502,661,22,22,23,27,22,24
1296,Mississippi College,63,53,51,33,0,MS,1,2,2,2,21,2,52,64,65,26,65,260,0,0,12,1,1,-2,A,1,1,1,589,-347,3247,2466,-1958,4481,814,17,1515,77,82,25,1.0,0,0,0,0,White,Asian,White,455,625,502,661,22,22,23,27,22,24
1297,Mississippi State University,227,254,264,164,61,MS,1,1,2,2,33,5,40,60,64,20,64,1034,92,190,566,1,1,-2,A,1,1,1,805,685,1490,1289,1051,2340,175,150,325,73,45,11,0.0,1,0,0,0,White,Asian,White,490,588,503,585,19,25,17,25,18,25
1298,Mississippi University for Women,41,21,41,40,0,MS,1,1,2,2,33,2,36,43,47,20,46,169,0,0,5,1,1,-2,A,1,1,1,589,-347,3247,2466,-1958,4481,814,17,1515,80,45,19,0.0,-2,-2,-2,-2,White,Asian,White,455,625,502,661,22,22,23,27,22,24
1299,Mississippi Valley State University,21,20,37,27,0,MS,1,1,1,2,33,2,16,25,27,20,27,118,0,0,7,1,1,-2,A,1,1,1,589,-347,3247,2466,-1958,4481,814,17,1515,68,41,14,1.0,0,0,0,0,White,Asian,White,455,625,502,661,22,22,23,27,22,24
1300,Missouri Baptist University,15,10,40,4,0,MO,1,2,2,2,21,2,25,33,33,20,35,137,0,0,4,1,1,-2,A,1,1,1,2496,2513,5009,3684,4040,7724,681,517,1198,78,56,14,0.0,1,1,1,1,White,White,White,490,580,480,570,19,25,17,23,17,24
1301,Missouri Southern State University,39,42,65,32,12,MO,1,1,2,2,13,3,15,28,33,29,32,224,0,0,42,1,1,-2,A,1,1,1,589,-347,3247,2466,-1958,4481,814,17,1515,64,54,13,1.0,0,0,0,0,White,Asian,White,455,625,502,661,22,22,23,27,22,24
1302,Missouri State University-Springfield,224,153,218,138,0,MO,1,1,2,2,12,5,35,53,58,20,58,850,3,0,166,1,1,-2,A,1,1,1,589,-347,3247,2466,-1958,4481,814,17,1515,58,51,19,1.0,0,0,0,0,White,Asian,White,455,625,502,661,22,22,23,27,22,24
1303,Missouri University of Science and Technology,127,111,95,0,5,MO,1,1,2,2,33,3,24,59,67,20,67,358,12,0,24,1,1,-2,A,1,1,1,589,-347,3247,2466,-1958,4481,814,17,1515,74,44,25,1.0,0,0,0,0,White,Asian,White,455,625,502,661,22,22,23,27,22,24
1304,Missouri Valley College,8,29,32,16,0,MO,1,2,2,2,33,2,12,22,23,53,23,105,0,0,9,1,1,-2,A,1,1,1,589,-347,3247,2466,-1958,4481,814,17,1515,52,38,16,1.0,0,0,0,0,White,Asian,White,455,625,502,661,22,22,23,27,22,24
1305,Missouri Western State University,51,48,55,18,0,MO,1,1,2,2,13,2,14,29,36,29,36,210,1,0,39,1,1,-2,A,1,1,2,3,3,6,3,3,6,1,3,4,67,45,16,1.0,1,1,0,0,White,White,White,455,625,502,661,22,22,23,27,22,24
1306,Mitchell College,2,8,6,0,0,CT,1,2,2,2,13,1,53,58,59,24,59,16,0,0,23,1,1,-2,A,1,1,1,733,516,1249,769,541,1310,197,167,364,70,33,12,1.0,1,0,0,0,White,Asian,White,470,540,470,540,18,23,16,23,16,23
1307,Mitchell Hamline School of Law,32,3,3,0,0,MN,1,2,2,2,11,2,22,34,71,20,50,136,0,0,29,1,1,-2,A,1,1,1,5038,8282,13320,7551,11845,19396,764,1324,2088,80,48,18,0.0,1,1,1,1,White,White,White,500,610,500,600,20,26,20,26,18,26
1308,Modesto Junior College,0,0,0,255,0,CA,1,1,2,2,12,4,22,34,71,12,20,359,0,0,8,1,1,-2,A,1,1,1,589,-347,3247,2466,-1958,4481,814,17,1515,63,41,23,1.0,0,0,0,0,White,Asian,White,455,625,502,661,22,22,23,27,22,24
1309,Molloy College,52,52,71,12,0,NY,1,2,2,2,21,3,50,71,72,20,73,353,0,0,35,1,1,-2,A,1,1,1,589,-347,3247,2466,-1958,4481,814,17,1515,46,47,14,1.0,0,0,0,0,White,Asian,White,455,625,502,661,22,22,23,27,22,24
1310,Monmouth College,28,18,33,0,10,IL,1,2,2,2,32,1,54,58,58,20,58,94,0,0,11,1,1,-2,A,1,1,1,589,-347,3247,2466,-1958,4481,814,17,1515,80,83,19,1.0,0,0,0,0,White,Asian,White,455,625,502,661,22,22,23,27,22,24
1311,Monmouth University,40,100,70,11,90,NJ,1,2,2,2,21,3,64,73,74,21,74,439,0,0,39,1,1,-2,A,1,1,1,589,-347,3247,2466,-1958,4481,814,17,1515,50,33,16,1.0,0,0,0,0,White,Asian,White,455,625,502,661,22,22,23,27,22,24
1312,Monroe College,0,0,0,250,0,NY,1,3,2,2,11,3,69,75,77,16,62,326,0,0,0,1,1,-2,A,1,1,1,96,131,227,109,164,274,39,39,78,50,48,10,1.0,1,1,0,0,White,White,White,455,625,502,661,22,22,23,27,22,24
1313,Montana Bible College,166,182,201,56,19,MT,1,2,2,2,41,1,67,67,67,20,43,-149,-5,74,60,1,1,-2,A,1,1,1,589,-347,3247,2466,-1958,4481,814,17,1515,82,45,14,0.0,-2,-2,-2,-2,White,Asian,White,455,625,502,661,22,22,23,27,22,24
1314,Montana State University,219,195,162,35,0,MT,1,1,2,2,33,4,30,53,59,20,60,898,262,58,95,1,1,-2,A,1,1,1,64,52,116,72,63,135,51,42,93,95,75,10,1.0,0,0,0,0,White,Asian,White,455,625,502,661,22,22,23,27,22,24
