,institution_main,professors,associateprof,assistantprof,instructors,lecturers,state,instlevel,instcontrol,hbcuflag,tribalflag,degofurbanization,instsize,gradrate4yrs,gradrate5yrs,gradrate6yrs,transferrate,gradrate,instructionalstaff,researchstaff,publicservicestaff,academicaffairstaff,publicflag,postsecondaryflag,yearsofcollegerequired,inststatus,postsecondaryprimary,activeflag,titleiveligible,admissionsmen,admissionswomen,admissionstotal,applicantsmen,applicantswomen,applicantstotal,enrolledmen,enrolledwomen,enrolledtotal,retentionrate_fulltime,retentionrate_parttime,studenttofacultyratio,associatesflag,bachelorsflag,mastersflag,phdresearchflag,phdproflag,predominantdemo_bachelors,predominantdemo_masters,predominantdemo_phd,sat25thperreading,sat75thperreading,sat25thpermath,sat75thpermath,act25thpercomp,act75thpercomp,act25thpereng,act75thpereng,act25thpermath,act75thpermath
2435,University of Valley Forge,6,6,10,0,0,PA,1,2,2,2,21,1,38,44,45,30,45,41,1,0,0,1,1,-2,A,1,1,1,1422,879,2301,1492,947,2439,335,465,800,69,13,15,1.0,1,1,0,0,White,White,White,460,570,440,540,18,22,16,22,16,22
2436,University of Vermont,257,208,107,15,146,VT,1,1,2,2,13,4,64,75,76,20,76,1020,152,11,316,1,1,-2,A,1,1,1,82,87,169,116,134,250,46,49,95,72,45,15,1.0,1,1,1,0,White,White,Asian,510,660,470,690,20,26,20,28,17,24
2437,University of Virginia-Main Campus,821,776,746,41,100,VA,1,1,2,2,23,5,89,94,94,3,94,2527,338,0,135,1,1,-2,A,1,1,1,589,-347,3247,2466,-1958,4481,814,17,1515,82,100,10,0.0,1,1,1,0,White,Black,Black,455,625,502,661,22,22,23,27,22,24
2438,University of Washington-Bothell Campus,40,92,72,0,7,WA,1,1,2,2,21,3,42,60,63,20,63,247,18,0,94,1,1,-1,A,1,1,5,589,-347,3247,2466,-1958,4481,814,17,1515,82,45,11,,-1,-1,-1,-1,White,Asian,White,455,625,502,661,22,22,23,27,22,24
2439,University of Washington-Seattle Campus,1553,1218,1229,326,393,WA,1,1,2,2,11,5,67,80,82,20,82,5102,3251,0,922,1,1,-2,A,1,1,6,589,-347,3247,2466,-1958,4481,814,17,1515,82,45,11,1.0,1,1,1,0,Hispanic,Hispanic,Asian,455,625,502,661,22,22,23,27,22,24
2440,University of West Alabama,26,32,33,19,4,AL,1,1,2,2,43,3,32,39,42,40,40,163,1,11,30,1,1,-2,A,1,1,1,1,16,17,1,16,17,0,14,14,95,45,15,0.0,-2,-2,-2,-2,White,Asian,White,455,625,502,661,22,22,23,27,22,24
2441,University of West Georgia,124,109,115,59,78,GA,1,1,2,2,31,4,22,40,44,35,44,530,0,0,144,1,1,-2,A,1,1,1,1,4,5,4,12,16,0,3,3,82,50,4,0.0,1,1,0,0,White,White,White,455,625,502,661,22,22,23,27,22,24
2442,University of West Los Angeles,8,0,0,0,0,CA,1,3,2,2,21,1,22,34,71,20,50,19,1,0,1,1,1,-2,A,1,1,1,2400,1905,4305,3672,3484,7156,939,629,1568,83,63,19,1.0,1,1,0,0,White,White,White,490,570,500,580,19,24,23,27,22,24
2443,University of Western States,3,16,17,0,0,OR,1,2,2,2,11,2,22,34,71,20,50,52,0,0,45,1,1,2,A,1,1,1,443,2125,2568,856,3498,4354,219,1071,1290,88,60,17,1.0,1,1,0,0,White,White,White,455,625,502,661,22,22,23,27,22,24
2444,University of Wisconsin-Eau Claire,150,99,107,9,74,WI,1,1,2,2,13,4,39,62,65,20,65,482,2,0,11,1,1,-2,A,1,1,1,600,591,1191,743,828,1572,169,119,288,60,33,13,1.0,1,1,1,1,White,White,White,515,590,505,585,18,23,17,24,16,22
2445,University of Wisconsin-Green Bay,40,88,48,1,68,WI,1,1,2,2,12,3,40,54,57,20,57,282,1,0,14,1,1,-2,A,1,1,1,589,-347,3247,2466,-1958,4481,814,17,1515,100,45,3,0.0,0,0,0,0,White,Asian,White,455,625,502,661,22,22,23,27,22,24
2446,University of Wisconsin-La Crosse,101,129,133,0,118,WI,1,1,2,2,13,4,44,68,71,20,71,510,0,0,18,1,1,-2,M,1,1,5,589,-347,3247,2466,-1958,4481,814,17,1515,82,45,11,0.0,0,0,0,0,White,Asian,White,455,625,502,661,22,22,23,27,22,24
2447,University of Wisconsin-Madison,1507,803,1102,174,130,WI,1,1,2,2,11,5,66,86,88,20,88,4088,1212,92,142,1,1,-2,A,1,1,1,589,-347,3247,2466,-1958,4481,814,17,1515,100,45,15,0.0,-2,-2,-2,-2,White,Asian,White,455,625,502,661,22,22,23,27,22,24
2448,University of Wisconsin-Milwaukee,260,362,155,24,196,WI,1,1,2,2,11,5,21,40,46,20,46,1184,75,0,24,1,2,-2,A,2,1,1,589,-347,3247,2466,-1958,4481,814,17,1515,85,45,10,0.0,-2,-2,-2,-2,White,Asian,White,455,625,502,661,22,22,23,27,22,24
2449,University of Wisconsin-Milwaukee Flex,166,182,201,56,19,WI,1,1,2,2,11,1,22,34,71,20,50,12,1,0,0,1,1,-2,A,1,1,1,1012,2648,3660,1388,3223,4611,218,518,736,66,29,17,0.0,1,1,1,0,Black,Black,Black,430,510,410,490,16,20,14,19,16,19
2450,University of Wisconsin-Oshkosh,123,122,55,0,96,WI,1,1,2,2,13,4,24,50,56,20,56,460,0,0,29,1,1,-2,A,1,1,1,589,-347,3247,2466,-1958,4481,814,17,1515,52,41,16,1.0,0,0,0,0,White,Asian,White,455,625,502,661,22,22,23,27,22,24
2451,University of Wisconsin-Parkside,26,58,39,0,40,WI,1,1,2,2,22,2,15,33,39,20,39,192,0,0,5,1,1,-2,A,1,1,1,589,-347,3247,2466,-1958,4481,814,17,1515,67,45,16,1.0,1,0,0,0,White,Asian,White,455,625,502,661,22,22,23,27,22,24
2452,University of Wisconsin-Parkside Flex,166,182,201,56,19,WI,1,1,2,2,22,1,22,34,71,20,50,2,0,0,0,1,1,-2,A,1,1,1,589,-347,3247,2466,-1958,4481,814,17,1515,73,72,15,0.0,-2,-2,-2,-2,White,Asian,White,455,625,502,661,22,22,23,27,22,24
