instnm,Professors (S2020_SIS  All full-time instructional staff),Associate professors (S2020_SIS  All full-time instructional staff),Assistant professors (S2020_SIS  All full-time instructional staff),Intructors (S2020_SIS  All full-time instructional staff),Lecturers (S2020_SIS  All full-time instructional staff),State abbreviation (HD2020),Level of institution (HD2020),Control of institution (HD2020),Historically Black College or University (HD2020),Tribal college (HD2020),Degree of urbanization (Urban-centric locale) (HD2020),Institution size category (HD2020),Percent admitted - total (DRVADM2020),Percent admitted - men (DRVADM2020),Percent admitted - women (DRVADM2020),Admissions yield - total (DRVADM2020),Admissions yield - men (DRVADM2020),Admissions yield - women (DRVADM2020),Percent of undergraduate enrollment 18-24 (DRVEF2020),Percent of undergraduate enrollment  25-64 (DRVEF2020),Percent of total enrollment that are American Indian or Alaska Native (DRVEF2020),Percent of total enrollment that are Asian/Native Hawaiian/Pacific Islander (DRVEF2020),Percent of total enrollment that are Asian (DRVEF2020),Percent of total enrollment that are Native Hawaiian or Other Pacific Islander (DRVEF2020),Percent of total enrollment that are Black or African American (DRVEF2020),Percent of total enrollment that are Hispanic/Latino (DRVEF2020),Percent of total enrollment that are White (DRVEF2020),Percent of total enrollment that are Race/ethnicity unknown (DRVEF2020),Percent of total enrollment that are Nonresident Alien (DRVEF2020),Percent of total enrollment that are two or more races (DRVEF2020),Percent of students enrolled exclusively in distance education courses (DRVEF2020),Percent of students enrolled in some but not all distance education courses (DRVEF2020),Percent of students not enrolled in any distance education courses (DRVEF2020),Percent of first-time undergraduates - in-state (DRVEF2020),Percent of first-time undergraduates - out-of-state (DRVEF2020),Percent of first-time undergraduates - foreign countries (DRVEF2020),Full-time retention rate  2020 (EF2020D),Part-time retention rate  2020 (EF2020D),Number of students receiving a Doctor's degree (DRVC2020),Number of students receiving a Master's degree (DRVC2020),Number of students receiving a Bachelor's degree (DRVC2020),Number of students receiving an Associate's degree (DRVC2020),Graduation rate  men (DRVGR2020),Graduation rate  women (DRVGR2020),Graduation rate - Bachelor degree within 4 years  total (DRVGR2020),Graduation rate - Bachelor degree within 5 years  total (DRVGR2020),Graduation rate - Bachelor degree within 6 years  total (DRVGR2020),Transfer-out rate  total cohort (DRVGR2020),Graduation rate  total cohort (DRVGR2020),Instructional FTE (DRVHR2020),Research FTE (DRVHR2020),Public Service FTE (DRVHR2020),Instructional  research and public service FTE (DRVHR2020),Librarians  Curators  and Archivists FTE (DRVHR2020),Student and Academic Affairs and Other Education Services FTE (DRVHR2020),Management FTE (DRVHR2020),Business and Financial Operations FTE (DRVHR2020),Computer  Engineering  and Science FTE (DRVHR2020),Community Service  Legal  Arts  and Media FTE (DRVHR2020),Healthcare FTE (DRVHR2020),Service  sales  office/admin support  natural resources  construction  maintenance  production  transportation & materials moving FTE (DRVHR2020),Service FTE (DRVHR2020),Sales and Related FTE (DRVHR2020),Office and Administrative Support FTE (DRVHR2020),Natural Resources  Construction  and Maintenance FTE (DRVHR2020),Production  Transportation  and Material Moving FTE (DRVHR2020),Physical books as a percent of the total library collection (DRVAL2020),Physical media as a percent of the total library collection (DRVAL2020),Digital/Electronic books as a percent of the total library collection (DRVAL2020),Digital/Electronic media as a percent of the total library collection (DRVAL2020),Percent of first-time degree/certificate-seeking students submitting SAT scores (ADM2020),Percent of first-time degree/certificate-seeking students submitting ACT scores (ADM2020),SAT Evidence-Based Reading and Writing 25th percentile score (ADM2020),SAT Evidence-Based Reading and Writing 75th percentile score (ADM2020),SAT Math 25th percentile score (ADM2020),SAT Math 75th percentile score (ADM2020),ACT Composite 25th percentile score (ADM2020),ACT Composite 75th percentile score (ADM2020),ACT English 25th percentile score (ADM2020),ACT English 75th percentile score (ADM2020),ACT Math 25th percentile score (ADM2020),ACT Math 75th percentile score (ADM2020)
University of South Florida-Sarasota-Manatee,,,,,,FL,1,1,2,2,21,-2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
University of South Florida-St Petersburg,,,,,,FL,1,1,2,2,11,-2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
University of Southern California,1039,685,508,1,170,CA,1,2,2,2,11,5,16,17,16,36,35,37,96,3,0,19,19,0,5,15,30,5,22,4,82,7,11,42,43,12,91,,1841,9703,5078,0,90,93,79,90,92,,92,2838,273,1999,5110,111,81,1857,1787,1381,719,415,3618,1363,142,1798,221,94,55,5,27,8,66,41,660,740,680,790,30,34,32,35,28,34
University of Southern Indiana,48,116,110,75,0,IN,1,1,2,2,22,4,94,92,95,33,36,32,71,11,0,2,2,0,4,4,84,1,2,3,25,47,28,87,12,1,75,71,4,674,1516,45,47,56,36,49,52,25,53,411,0,0,411,8,85,113,49,56,58,0,273,90,0,145,32,6,33,1,46,0,86,38,490,590,490,580,19,25,19,25,18,26
University of Southern Maine,82,66,93,1,47,ME,1,1,2,2,13,3,88,83,91,19,21,18,65,22,1,2,2,0,6,3,78,6,1,3,51,37,12,79,21,0,70,30,90,419,1070,0,30,40,20,32,36,38,36,470,10,0,480,19,55,49,222,24,99,4,274,73,0,151,50,0,40,1,40,9,73,3,488,590,470,570,20,25,18,24,18,25
University of Southern Mississippi,153,191,185,78,22,MS,1,1,2,2,13,4,96,95,97,18,18,18,79,19,0,2,2,0,27,4,61,0,2,3,45,50,4,68,31,1,75,41,161,635,2474,0,43,53,31,46,50,,50,684,52,0,736,63,40,131,468,140,89,36,529,201,19,236,60,13,45,13,34,0,0,100,,,,,19,26,19,28,17,25
University of St Francis,26,23,28,19,0,IL,1,2,2,2,21,2,60,55,63,18,21,17,76,21,0,4,4,0,9,17,65,1,2,2,53,36,11,93,5,2,81,,32,505,406,0,53,65,38,59,60,,60,159,0,0,159,6,21,39,14,17,37,3,59,17,0,28,10,4,46,4,17,27,76,21,480,590,490,590,21,26,19,26,19,25
University of St Thomas,27,46,43,12,0,TX,1,2,2,2,11,2,96,95,97,39,42,37,71,27,0,10,10,0,12,45,22,3,7,2,38,51,12,97,2,0,83,86,32,475,431,0,62,68,36,61,66,,66,198,0,0,198,10,8,60,17,3,65,0,104,28,1,56,19,0,46,0,39,0,,,,,,,,,,,,
University of St Thomas,133,164,65,6,48,MN,1,2,2,2,11,3,87,87,88,24,26,22,96,3,0,5,5,0,5,6,69,7,5,3,22,68,10,78,20,3,87,100,176,923,1307,77,79,82,70,79,80,15,80,531,0,0,531,24,63,138,150,119,82,8,384,202,14,152,14,2,18,8,54,13,8,92,560,670,570,670,23,29,21,29,23,28
University of St. Augustine for Health Sciences,7,26,112,45,1,CA,1,3,2,2,21,2,,,,,,,,,0,12,11,1,7,15,42,20,0,3,17,83,0,,,,,,919,423,0,0,,,,,,,,366,0,0,366,9,88,98,23,20,16,0,41,4,0,37,0,0,1,0,0,1,,,,,,,,,,,,
University of Texas Health Science Center at Tyler,12,16,20,3,0,TX,1,1,2,2,12,1,,,,,,,,,1,15,13,1,34,7,38,6,0,0,57,31,11,,,,,,0,27,0,0,,,,,,,,75,35,0,110,1,0,112,41,7,2,774,351,36,0,301,14,0,20,1,34,0,,,,,,,,,,,,
University of Texas Southwestern Medical Center,410,425,1027,43,0,TX,1,1,2,2,11,2,,,,,,,,,0,20,20,0,3,13,28,7,25,3,12,36,51,,,,,,308,111,0,0,,,,,,,,1991,3,446,2440,3,49,814,611,1461,51,501,1962,435,1,1207,290,29,0,0,93,0,,,,,,,,,,,,
University of the Cumberlands,59,99,76,8,0,KY,1,2,2,2,33,4,81,79,83,33,39,29,,,0,1,1,0,1,0,9,71,18,0,45,55,1,66,31,2,66,20,123,3386,544,21,37,44,29,39,40,34,40,474,0,0,474,6,66,22,35,21,51,8,102,8,1,90,3,0,3,0,10,85,14,85,460,570,470,570,19,24,17,24,17,23
University of the District of Columbia,45,76,72,16,0,DC,1,1,1,2,11,2,,,,,,,49,48,0,2,2,0,61,16,6,6,6,3,0,22,78,86,13,1,71,40,0,159,374,220,33,15,21,37,42,22,23,346,10,7,363,6,79,92,85,23,25,1,154,23,0,111,15,5,42,3,31,0,,,,,,,,,,,,
University of the District of Columbia-David A Clarke School of Law,16,5,2,0,0,DC,1,1,1,2,11,1,,,,,,,,,0,10,10,0,45,13,23,5,1,3,0,0,100,,,,,,78,0,0,0,,,,,,,,30,0,0,30,3,4,4,2,3,3,0,9,0,0,9,0,0,7,0,91,0,,,,,,,,,,,,
University of the Incarnate Word,88,109,108,34,1,TX,1,2,2,2,11,3,97,96,97,14,13,14,,,0,6,6,0,9,52,21,6,3,2,71,24,5,94,3,3,75,0,244,648,1162,160,52,59,33,50,56,26,56,473,0,0,473,22,20,171,59,38,182,122,209,42,10,107,37,13,37,3,25,9,89,27,480,580,470,560,17,23,16,23,16,23
University of the Ozarks,15,5,19,9,0,AR,1,2,2,2,33,1,56,56,56,20,24,18,96,2,0,2,1,0,7,13,42,6,28,3,8,86,5,51,34,14,69,,0,0,120,0,49,46,33,46,47,,47,52,0,0,52,2,21,23,4,2,24,2,39,4,0,16,19,0,15,0,56,21,17,65,470,610,480,620,18,23,18,24,17,23
University of the Pacific,143,123,117,10,16,CA,1,2,2,2,11,3,71,69,71,7,9,6,91,7,0,37,36,0,4,19,25,3,7,5,0,0,100,89,8,3,87,,586,449,778,0,63,77,45,59,66,,70,534,0,0,534,7,7,358,22,67,44,10,627,183,0,426,3,15,19,40,21,4,89,34,540,660,540,680,22,30,21,31,21,29
University of the People,,,,,,CA,1,2,2,2,12,5,,,,,,,26,73,0,11,11,0,14,5,13,57,0,0,100,0,0,4,23,0,61,83,0,366,163,281,26,17,16,22,22,1,23,0,0,0,0,1,7,9,0,0,0,0,7,0,0,7,0,0,0,0,99,0,,,,,,,,,,,,
University of the Potomac-VA Campus,,,,,,VA,1,3,2,2,21,1,,,,,,,,,0,0,0,0,1,0,2,0,97,0,0,0,100,67,33,0,83,,0,61,33,0,100,,0,0,100,,100,1,0,0,1,1,0,5,0,0,0,0,13,0,5,8,0,0,99,0,0,0,,,,,,,,,,,,
University of the Potomac-Washington DC Campus,0,0,0,1,0,DC,1,3,2,2,11,1,,,,,,,,,0,0,0,0,13,0,8,0,80,0,25,0,75,0,86,0,80,,0,44,27,2,100,0,0,0,43,,43,0,0,0,0,0,0,4,0,0,0,0,12,0,5,7,0,0,99,0,0,0,,,,,,,,,,,,
University of the Sciences,29,43,70,10,4,PA,1,2,2,2,11,2,71,71,72,15,16,14,98,1,0,27,27,0,7,3,47,9,3,4,21,79,1,60,39,1,90,,253,76,286,0,79,82,71,79,81,,81,185,16,0,201,4,87,32,28,36,19,0,69,8,1,47,13,0,5,0,87,1,98,19,560,650,550,670,22,29,21,28,21,28
University of the Southwest,2,6,17,6,1,NM,1,2,2,2,41,1,,,,,,,,,2,3,3,0,15,35,38,6,0,0,59,41,0,43,53,0,74,100,4,211,90,0,24,30,13,26,26,,26,37,0,0,37,0,20,10,2,4,12,3,16,3,1,9,3,0,0,0,0,0,,,,,,,,,,,,
University of the West,4,2,7,2,0,CA,1,2,2,2,21,1,,,,,,,,,1,16,16,0,3,17,11,5,46,1,100,0,0,57,14,29,75,,3,21,24,0,19,50,10,28,28,10,28,30,0,0,30,1,10,13,3,3,0,0,6,5,0,1,0,0,50,1,2,32,,,,,,,,,,,,
University of Toledo,216,166,143,25,155,OH,1,1,2,2,11,4,95,96,94,26,27,25,,,0,3,3,0,9,5,67,5,7,4,9,36,55,79,18,2,78,54,537,947,2924,77,48,57,31,50,53,,53,800,80,230,1110,35,122,208,143,209,229,393,562,216,0,259,80,7,45,2,43,3,31,79,490,600,495,610,20,26,19,25,19,26
University of Tulsa,99,94,99,17,0,OK,1,2,2,2,11,2,69,68,71,12,11,14,95,5,3,5,5,0,6,8,54,3,11,9,2,0,97,56,40,1,84,60,157,245,678,0,69,77,56,72,73,,73,354,0,0,354,37,88,64,68,74,158,12,209,68,4,112,22,3,48,10,37,0,39,78,540,650,540,680,23,31,23,33,23,30
University of Utah,770,556,567,24,291,UT,1,1,2,2,12,5,79,78,80,31,31,30,80,18,0,6,6,0,1,12,65,3,7,5,33,56,10,63,32,4,89,56,867,2236,4924,0,64,70,34,57,67,,67,2377,1006,947,4330,108,423,1316,1067,1214,565,1261,3067,859,84,1752,280,92,48,6,23,5,24,80,570,670,560,680,22,29,21,30,21,28
University of Valley Forge,6,6,10,0,0,PA,1,2,2,2,21,1,63,61,65,30,34,27,79,13,0,3,3,0,14,19,52,5,1,5,25,35,40,51,49,0,69,33,0,22,89,5,49,42,38,44,45,30,45,41,1,0,42,1,0,29,0,1,0,1,21,6,0,7,8,0,97,3,0,0,,,,,,,,,,,,
University of Vermont,257,208,107,15,146,VT,1,1,2,2,13,4,71,66,74,19,20,18,93,4,0,3,3,0,2,5,80,3,3,3,3,45,52,23,75,1,85,60,232,474,2406,0,70,81,64,75,76,,76,1020,152,11,1183,53,316,92,295,435,156,35,867,258,7,466,122,14,67,3,21,1,79,30,590,680,570,670,26,31,25,33,24,29
University of Virginia-Main Campus,821,776,746,41,100,VA,1,1,2,2,23,5,23,22,23,41,39,42,95,4,0,13,13,0,6,6,57,4,8,5,52,40,8,67,29,4,97,,806,2165,4171,0,93,95,89,94,94,3,94,2527,338,0,2865,141,135,1284,867,1541,432,163,2444,636,22,986,676,124,60,9,20,2,76,36,660,740,660,770,30,34,32,35,28,34
University of Washington-Bothell Campus,40,92,72,0,7,WA,1,1,2,2,21,3,88,87,89,27,31,23,,,0,32,32,0,7,10,35,2,7,6,1,3,96,97,1,1,89,83,0,228,1781,0,59,66,42,60,63,,63,247,18,0,265,24,94,25,63,28,11,0,107,43,0,49,14,1,5,0,74,8,72,18,510,620,530,650,20,27,18,27,19,27
University of Washington-Seattle Campus,1553,1218,1229,326,393,WA,1,1,2,2,11,5,56,50,61,29,29,28,,,0,22,22,0,3,8,40,3,16,7,2,9,89,64,21,15,93,72,1436,4297,7887,0,78,86,67,80,82,,82,5102,3251,0,8353,209,922,837,2941,1258,499,1607,2425,850,2,1104,339,130,65,7,20,2,81,28,590,700,610,753,27,33,26,35,26,32
University of West Alabama,26,32,33,19,4,AL,1,1,2,2,43,3,93,89,95,15,19,13,67,32,1,0,0,0,36,2,48,9,2,2,73,10,18,85,14,1,63,100,0,889,312,29,36,44,32,39,42,40,40,163,1,11,175,8,30,45,19,12,50,0,135,53,0,55,23,4,57,1,1,0,0,100,,,,,17,22,16,21,16,23
University of West Georgia,124,109,115,59,78,GA,1,1,2,2,31,4,78,72,81,35,37,35,80,12,0,1,1,0,34,7,51,2,1,4,37,48,14,96,2,1,73,59,32,696,1886,0,37,49,22,40,44,35,44,530,0,0,530,12,144,200,53,55,78,6,432,186,0,186,60,0,28,0,60,2,54,40,480,580,420,510,17,22,16,22,16,22
University of West Los Angeles,8,0,0,0,0,CA,1,3,2,2,21,1,,,,,,,,,1,6,6,0,10,16,56,9,3,0,0,0,100,,,,,,39,9,0,0,,,,,,,,19,1,0,20,2,1,5,3,0,0,0,6,0,2,4,0,0,6,0,94,0,,,,,,,,,,,,
University of Western States,3,16,17,0,0,OR,1,2,2,2,11,2,,,,,,,,,0,4,4,0,3,3,53,6,22,9,57,12,31,,,,,,184,167,110,0,,,,,,,,52,0,0,52,4,45,54,8,9,2,5,20,14,0,5,1,0,15,4,21,11,,,,,,,,,,,,
University of Wisconsin-Eau Claire,150,99,107,9,74,WI,1,1,2,2,13,4,84,83,85,43,45,42,94,4,0,3,3,0,1,4,86,0,2,3,9,73,18,63,37,0,82,50,18,147,2142,49,65,64,39,62,65,,65,482,2,0,484,21,11,67,61,89,168,9,242,93,0,113,25,11,46,3,27,12,0,97,,,,,21,26,20,25,19,26
University of Wisconsin-Green Bay,40,88,48,1,68,WI,1,1,2,2,12,3,90,89,90,43,43,43,61,21,1,5,5,0,2,7,81,0,1,3,41,39,20,92,7,1,74,45,0,185,1177,144,54,58,40,54,57,,57,282,1,0,283,18,14,60,29,49,112,0,146,56,0,65,19,6,17,2,52,9,0,91,,,,,18,24,16,23,17,24
University of Wisconsin-La Crosse,101,129,133,0,118,WI,1,1,2,2,13,4,75,72,77,46,47,45,96,3,0,2,2,0,1,4,89,0,1,3,67,31,3,80,20,0,86,50,51,272,2053,3,70,72,44,68,71,,71,510,0,0,510,18,18,80,55,58,118,14,299,140,4,117,31,7,27,7,44,10,0,98,,,,,22,26,21,26,22,26
University of Wisconsin-Madison,1507,803,1102,174,130,WI,1,1,2,2,11,5,57,55,60,28,28,28,95,4,0,7,7,0,2,6,65,3,13,3,49,44,7,52,41,8,95,75,1345,2319,7529,0,86,91,66,86,88,,88,4088,1212,92,5392,194,142,817,1871,3402,1685,590,2902,1202,1,1122,459,118,63,7,23,2,27,78,610,690,650,770,27,32,25,33,26,31
University of Wisconsin-Milwaukee,260,362,155,24,196,WI,1,1,2,2,11,5,79,80,78,38,42,36,80,17,0,7,7,0,7,12,66,1,4,4,45,49,6,88,11,1,75,43,201,1233,4261,327,44,47,21,40,46,,46,1184,75,0,1259,47,24,194,277,267,369,16,547,212,1,247,60,27,47,8,29,8,0,91,,,,,19,24,17,24,17,24
University of Wisconsin-Milwaukee Flex,,,,,,WI,1,1,2,2,11,1,100,,100,100,,100,,,1,4,4,0,3,5,83,1,0,3,100,0,0,88,13,0,,,0,0,92,13,,,,,,,,12,1,0,13,0,0,2,3,3,4,0,5,2,0,2,1,0,47,8,29,8,0,0,,,,,,,,,,
University of Wisconsin-Oshkosh,123,122,55,0,96,WI,1,1,2,2,13,4,79,79,78,37,38,36,60,9,0,4,4,0,2,6,83,1,1,3,31,35,34,91,7,2,72,37,37,300,1809,261,50,59,24,50,56,,56,460,0,0,460,15,29,106,57,60,212,6,264,103,1,125,29,6,42,2,32,13,0,91,,,,,19,24,17,23,17,24
University of Wisconsin-Parkside,26,58,39,0,40,WI,1,1,2,2,22,2,66,65,67,40,42,38,76,20,0,4,4,0,8,19,63,0,2,5,55,42,3,88,11,1,72,53,0,146,787,0,36,41,15,33,39,,39,192,0,0,192,13,5,43,28,25,59,4,100,25,0,54,14,7,33,1,49,8,0,87,,,,,17,23,16,23,16,23
University of Wisconsin-Parkside Flex,,,,,,WI,1,1,2,2,22,1,,,,,,,,,0,3,3,0,5,8,79,2,0,3,100,0,0,,,,,,0,0,5,0,,,,,,,,2,0,0,2,0,0,0,0,0,1,0,1,0,0,1,0,0,33,1,49,8,,,,,,,,,,,,
University of Wisconsin-Platteville,88,69,72,0,67,WI,1,1,2,2,32,3,81,82,81,46,47,45,90,8,0,2,2,0,2,5,88,0,1,2,18,75,7,76,24,0,77,20,0,259,1509,97,55,58,26,50,56,,56,319,1,0,320,14,14,85,62,67,100,7,241,102,0,110,19,10,25,1,41,6,0,87,,,,,20,26,19,24,20,27
University of Wisconsin-River Falls,97,34,63,0,23,WI,1,1,2,2,32,3,77,74,78,51,48,53,90,8,0,3,3,0,1,4,89,0,1,3,52,45,3,45,55,0,77,56,0,161,1168,14,56,59,37,55,58,,58,255,0,0,255,9,12,54,38,46,73,0,133,44,0,61,21,7,29,2,49,15,0,98,,,,,19,25,17,24,18,25
University of Wisconsin-Stevens Point,124,90,71,2,39,WI,1,1,2,2,32,3,87,88,86,36,40,34,87,9,0,3,3,0,2,4,86,1,1,2,29,65,6,91,9,0,79,16,10,129,1630,98,56,62,34,55,59,,59,355,3,0,358,18,19,80,56,71,135,10,265,123,0,90,41,11,35,2,35,17,0,94,,,,,19,24,17,24,17,24
University of Wisconsin-Stout,108,54,90,0,64,WI,1,1,2,2,32,3,90,91,89,44,47,40,86,14,0,4,4,0,2,4,86,0,1,3,24,62,14,60,40,0,73,69,5,309,1560,0,55,66,30,55,60,,60,357,0,0,357,12,20,71,55,66,96,11,249,97,0,107,30,15,12,1,63,13,0,94,,,,,20,25,18,24,18,26
University of Wisconsin-Superior,29,28,25,1,29,WI,1,1,2,2,22,2,86,86,86,30,31,29,67,28,2,1,1,0,2,3,83,0,6,2,38,16,46,49,45,6,65,100,0,143,438,20,32,51,29,40,43,,43,123,2,0,125,6,7,39,28,26,50,0,62,6,0,38,11,7,9,1,70,6,0,88,,,,,18,24,16,23,17,23
University of Wisconsin-Whitewater,104,151,107,0,109,WI,1,1,2,2,32,4,80,81,79,43,45,40,88,9,0,2,2,0,4,8,82,0,1,3,19,72,9,84,16,0,79,41,10,519,2249,180,58,67,38,59,62,,62,508,1,0,509,17,6,75,50,54,150,9,273,108,0,121,35,9,33,6,43,4,0,89,,,,,19,24,17,23,17,24
University of Wyoming,197,185,149,19,169,WY,1,1,2,2,33,4,94,94,94,31,30,31,83,16,1,1,1,0,1,6,75,8,4,4,39,54,7,55,43,1,80,0,210,463,2207,0,54,64,33,54,59,24,59,721,186,101,1008,77,148,118,291,217,255,106,667,231,13,237,111,75,31,7,51,6,33,75,520,620,520,620,21,28,20,27,20,27
Upper Iowa University,11,23,18,0,9,IA,1,2,2,2,43,2,65,68,61,26,27,24,36,64,0,2,1,0,18,5,60,9,3,2,63,11,26,23,69,3,74,57,0,266,961,135,27,27,24,25,25,0,27,178,0,0,178,2,0,81,0,0,0,0,167,24,0,143,0,0,54,2,19,4,23,62,440,528,420,518,18,23,16,21,24,25
Upstate Medical University,121,142,326,20,0,NY,1,1,2,2,12,2,,,,,,,49,51,0,12,12,0,6,7,64,4,4,2,15,32,54,,,,,,184,172,110,0,,,,,,,,685,0,1,686,12,4,71,150,24,22,323,250,81,0,86,76,7,53,1,0,1,,,,,,,,,,,,
Urshan College,,,,,,MO,1,2,2,2,21,1,80,74,85,88,89,88,,,2,1,1,0,6,17,68,1,1,4,25,46,29,10,80,5,78,0,0,0,25,4,9,17,15,15,15,,12,14,0,0,14,1,0,4,0,0,0,0,7,1,0,6,0,0,100,0,0,0,,,,,,,,,,,,
Urshan Graduate School of Theology,,,,,,MO,1,2,2,2,21,1,,,,,,,,,0,0,0,0,9,14,42,28,7,1,83,5,13,,,,,,0,12,0,0,,,,,,,,6,0,0,6,1,0,4,0,0,0,0,6,1,0,5,0,0,100,0,0,0,,,,,,,,,,,,
Ursinus College,25,41,41,20,0,PA,1,2,2,2,21,2,80,77,84,14,17,12,98,1,0,4,4,0,7,7,74,3,1,4,2,83,15,58,41,0,85,,0,0,314,0,69,78,71,73,74,,74,140,0,0,140,4,17,67,8,14,67,0,69,13,0,42,14,0,19,1,68,8,67,18,580,670,570,660,25,30,24,31,23,29
Ursuline College,13,13,21,13,0,OH,1,2,2,2,21,2,81,60,83,22,27,21,,,0,4,3,0,22,1,62,4,2,5,8,39,53,88,11,0,75,,2,121,179,0,67,35,29,35,36,49,36,89,0,0,89,5,2,27,3,7,31,2,31,2,0,25,4,0,12,1,61,16,38,79,470,560,470,560,18,24,16,23,17,23
Uta Mesivta of Kiryas Joel,12,0,0,88,56,NY,1,2,2,2,21,2,,,,,,,,,0,0,0,0,0,0,100,0,0,0,0,0,100,98,1,0,97,,0,0,359,0,79,,0,79,79,7,79,170,0,0,170,0,0,6,8,4,0,0,30,27,0,3,0,0,100,0,0,0,,,,,,,,,,,,
Utah State University,266,267,341,38,137,UT,1,1,2,2,13,5,91,91,91,31,29,34,72,15,1,2,1,0,1,6,83,4,1,2,19,55,26,67,28,0,73,45,102,791,4090,1159,40,56,21,38,48,,50,1060,25,66,1151,58,88,340,237,346,405,27,937,187,3,576,143,28,52,4,36,3,17,89,550,660,530,660,21,29,20,29,20,28
Utah Valley University,123,264,212,0,154,UT,1,1,2,2,13,5,,,,,,,,,0,2,1,1,1,12,79,1,1,4,33,37,30,83,15,0,67,44,0,280,3484,2180,24,39,13,22,29,21,32,994,0,84,1078,38,346,384,94,189,115,10,470,150,9,212,71,28,13,2,21,9,,,,,,,,,,,,
Utica College,37,47,43,0,0,NY,1,2,2,2,13,2,86,84,88,19,21,17,73,25,1,5,5,0,10,8,65,8,1,2,47,44,10,88,11,1,78,,191,510,1029,0,42,66,40,52,54,26,54,250,0,0,250,8,37,40,26,31,57,4,77,11,0,60,6,0,20,0,61,2,,,,,,,,,,,,
Valdosta State University,126,104,79,33,70,GA,1,1,2,2,13,4,78,77,79,34,37,32,84,14,0,1,1,0,38,8,47,0,1,4,33,46,21,81,19,0,73,57,41,722,1512,28,36,44,20,37,40,42,40,474,0,0,474,9,74,162,14,47,37,9,298,130,0,138,30,0,32,2,45,7,50,28,510,590,480,550,19,23,18,23,17,22
Valencia College,0,0,0,0,0,FL,1,1,2,2,11,5,,,,,,,61,27,0,5,5,0,17,39,26,6,4,3,90,6,4,88,1,2,,,0,0,337,8479,38,48,,,,12,44,1096,0,0,1096,19,244,66,447,97,115,0,557,185,40,294,35,3,31,2,49,12,,,,,,,,,,,,
Valley City State University,12,19,37,0,0,ND,1,1,2,2,33,2,81,80,81,52,55,49,64,19,1,1,1,0,2,4,86,1,1,3,24,35,42,69,28,3,72,65,0,38,254,0,49,39,25,43,45,27,45,87,0,0,87,2,5,27,6,10,19,3,46,15,0,18,12,1,15,1,44,32,8,82,460,520,420,550,17,22,15,22,16,23
Valley College-Martinsburg,0,0,0,0,0,WV,1,3,2,2,22,1,,,,,,,,,0,0,0,0,18,4,61,12,0,4,80,20,0,73,27,0,67,,0,0,19,73,67,74,,,,3,71,3,0,0,3,0,11,2,3,3,0,0,9,0,6,3,0,0,2,0,4,13,,,,,,,,,,,,
Valparaiso University,57,93,76,2,14,IN,1,2,2,2,21,2,87,87,86,12,12,13,96,3,0,2,2,0,6,11,71,3,4,3,5,79,16,44,56,0,83,,42,198,804,1,58,71,56,65,65,,65,274,0,0,274,16,0,132,14,32,51,11,179,88,0,73,18,0,41,2,28,0,66,43,540,640,530,640,22,29,22,29,22,28
Vanderbilt University,483,275,280,40,160,TN,1,2,2,2,11,4,12,13,11,40,40,40,98,0,0,11,11,0,9,9,52,3,10,4,23,61,17,9,81,9,96,100,646,1508,1692,0,91,94,88,92,93,,93,1341,380,0,1721,96,267,146,712,595,369,31,1520,715,38,560,160,47,36,3,49,5,45,56,720,770,750,800,33,35,34,36,31,35
VanderCook College of Music,4,4,2,0,0,IL,1,2,2,2,11,1,100,100,100,43,57,36,,,0,3,3,0,4,9,73,7,2,2,70,1,29,89,11,0,60,,0,32,19,0,64,79,52,60,72,,72,22,0,0,22,1,6,1,5,3,2,0,3,0,0,3,0,0,8,3,4,86,89,33,445,570,445,590,15,20,23,24,21,22
Vanguard University of Southern California,29,18,33,2,0,CA,1,2,2,2,12,2,50,50,50,27,28,27,,,0,6,6,1,5,43,36,7,0,3,93,7,0,89,11,0,75,100,0,100,413,0,58,65,58,62,63,,63,142,0,0,142,2,0,37,50,10,37,4,22,5,1,16,0,0,19,4,43,24,89,27,480,580,470,560,18,23,,,,
Vassar College,95,69,53,0,13,NY,1,2,2,2,21,2,25,28,23,28,25,29,97,1,0,11,11,0,4,8,58,1,9,9,0,0,100,27,63,10,93,100,0,0,629,0,86,89,82,87,88,8,88,310,0,0,310,40,30,52,141,62,12,8,387,257,0,123,7,0,31,4,57,2,64,41,680,750,680,770,32,34,34,35,28,32
Vaughn College of Aeronautics and Technology,8,9,15,4,0,NY,1,2,2,2,11,2,,,,,,,68,30,0,15,14,1,15,32,13,16,7,2,3,30,66,91,6,3,78,,0,1,121,109,37,46,30,40,41,20,38,79,0,0,79,4,39,36,5,14,0,0,29,2,0,20,7,0,3,1,60,14,,,,,,,,,,,,
Veritas Baptist College,5,1,0,1,0,IN,1,2,2,2,41,1,68,68,67,60,59,63,,,0,6,6,0,3,6,81,0,0,4,100,0,0,0,100,0,67,40,0,9,15,2,25,,33,33,33,,25,14,0,0,14,0,4,2,1,0,1,0,1,0,1,0,0,0,98,0,1,0,,,,,,,,,,,,
