institution,publicflag,postsecondaryflag,yearsofcollegerequired,inststatus,postsecondaryprimary,activeflag,titleiveligible,admissionsmen,admissionswomen,admissionstotal,applicantsmen,applicantswomen,applicantstotal,enrolledmen,enrolledwomen,enrolledtotal,retentionrate_fulltime,retentionrate_parttime,studenttofacultyratio,associatesflag,bachelorsflag,mastersflag,phdresearchflag,phdproflag
American Beauty Academy-West Valley Campus,1,1,-2,A,1,1,1,589,-347,3247,2466,-1958,4481,814,17,1515,100,80,3,0,-2,-2,-2,-2
American Beauty College,1,1,-2,A,1,1,1,589,-347,3247,2466,-1958,4481,814,17,1515,57,75,25,0,-2,-2,-2,-2
American Beauty School,1,1,-2,A,1,1,1,589,-347,3247,2466,-1958,4481,814,17,1515,98,96,20,0,-2,-2,-2,-2
American Beauty Schools,1,1,-2,A,1,1,1,589,-347,3247,2466,-1958,4481,814,17,1515,94,45,16,0,-2,-2,-2,-2
American Business and Technology University,1,1,-2,A,1,1,1,589,-347,3247,2466,-1958,4481,814,17,1515,82,45,14,1,1,1,0,0
American Career College-Anaheim,1,1,-2,A,1,1,1,589,-347,3247,2466,-1958,4481,814,17,1515,73,45,39,1,0,0,0,0
American Career College-Los Angeles,1,1,-2,A,1,1,1,589,-347,3247,2466,-1958,4481,814,17,1515,77,45,45,1,0,0,0,0
American Career College-Ontario,1,1,-2,A,1,1,1,589,-347,3247,2466,-1958,4481,814,17,1515,74,45,46,1,0,0,0,0
American College for Medical Careers,1,1,-1,A,1,1,5,589,-347,3247,2466,-1958,4481,814,17,1515,82,45,11,,-1,-1,-1,-1
American College of Acupuncture and Oriental Med,1,1,3,A,1,1,1,589,-347,3247,2466,-1958,4481,814,17,1515,82,45,11,0,0,1,0,1
American College of Barbering,1,1,-2,A,1,1,1,589,-347,3247,2466,-1958,4481,814,17,1515,59,45,20,0,-2,-2,-2,-2
American College of Barbering - Murfreesboro TN,1,3,-1,G,1,3,1,589,-347,3247,2466,-1958,4481,814,17,1515,82,45,11,,-1,-1,-1,-1
American College of Education,1,2,2,A,1,1,3,589,-347,3247,2466,-1958,4481,814,17,1515,82,45,10,0,1,1,1,0
American College of Financial Services,1,2,1,A,1,1,3,589,-347,3247,2466,-1958,4481,814,17,1515,82,45,60,0,0,1,1,0
American College of Hair Design Inc,1,1,-2,A,1,1,1,589,-347,3247,2466,-1958,4481,814,17,1515,0,45,7,0,-2,-2,-2,-2
American College of Hairstyling-Des Moines,1,1,-1,A,1,1,5,589,-347,3247,2466,-1958,4481,814,17,1515,82,45,11,,-1,-1,-1,-1
American College of Healthcare and Technology,1,1,-2,A,1,1,1,589,-347,3247,2466,-1958,4481,814,17,1515,85,45,31,0,-2,-2,-2,-2
American College of Healthcare and Technology,1,1,-2,A,1,1,1,589,-347,3247,2466,-1958,4481,814,17,1515,85,45,31,0,0,0,0,0
American College of Healthcare and Technology,1,1,-2,A,1,1,1,589,-347,3247,2466,-1958,4481,814,17,1515,85,45,31,0,-2,-2,-2,-2
American College of Healthcare and Technology,1,1,-2,A,1,1,1,589,-347,3247,2466,-1958,4481,814,17,1515,85,45,31,0,0,0,0,0
American College of Healthcare and Technology,1,1,-2,A,1,1,1,589,-347,3247,2466,-1958,4481,814,17,1515,88,45,31,0,-2,-2,-2,-2
American College of Healthcare and Technology,1,1,-2,A,1,1,1,589,-347,3247,2466,-1958,4481,814,17,1515,88,45,31,0,0,0,0,0
American College of Healthcare and Technology,1,1,-2,A,1,1,1,589,-347,3247,2466,-1958,4481,814,17,1515,88,45,31,0,-2,-2,-2,-2
American College of Healthcare and Technology,1,1,-2,A,1,1,1,589,-347,3247,2466,-1958,4481,814,17,1515,88,45,31,0,0,0,0,0
American College of Healthcare Sciences,1,1,-2,A,1,1,1,1,34,35,4,71,75,1,34,35,0,0,19,1,1,1,0,0
American College of the Building Arts,1,1,-2,A,1,1,1,11,0,11,16,1,17,11,17,11,60,45,6,1,1,0,0,0
American Conservatory Theater,1,1,1,A,1,1,1,589,-347,3247,0,0,0,814,17,1515,82,45,6,0,0,1,0,0
American Educational College,1,1,-2,A,1,1,1,589,-347,3247,2466,-1958,4481,814,17,1515,34,45,15,0,0,0,0,0
American Film Institute Conservatory,1,1,4,A,1,1,1,589,-347,3247,2466,-1958,4481,814,17,1515,82,45,11,0,0,1,0,0
American Fitness and Nutrition Academy,1,1,-2,A,1,1,1,589,-347,3247,2466,-1958,4481,814,17,1515,82,45,6,0,-2,-2,-2,-2
American Hair Academy,1,1,-2,A,1,1,1,589,-347,3247,2466,-1958,4481,814,17,1515,83,45,10,0,0,0,0,0
American Indian OIC Inc,1,1,-2,A,1,1,1,589,-347,3247,2466,-1958,4481,814,17,1515,43,25,3,0,-2,-2,-2,-2
American Institute of Alternative Medicine,1,1,-2,A,1,1,1,1,9,10,1,14,15,0,7,7,82,45,19,0,-2,-2,-2,-2
American Institute of Alternative Medicine,1,1,-2,A,1,1,1,1,9,10,1,14,15,0,7,7,82,45,19,1,0,1,0,0
American Institute of Alternative Medicine,1,1,4,A,1,1,1,1,9,10,1,14,15,0,7,7,82,45,19,0,-2,-2,-2,-2
American Institute of Alternative Medicine,1,1,4,A,1,1,1,1,9,10,1,14,15,0,7,7,82,45,19,1,0,1,0,0
American Institute of Alternative Medicine,1,1,-2,A,1,1,1,589,-347,3247,2466,-1958,4481,814,17,1515,82,45,5,0,-2,-2,-2,-2
American Institute of Alternative Medicine,1,1,-2,A,1,1,1,589,-347,3247,2466,-1958,4481,814,17,1515,82,45,5,1,0,1,0,0
American Institute of Alternative Medicine,1,1,4,A,1,1,1,589,-347,3247,2466,-1958,4481,814,17,1515,82,45,5,0,-2,-2,-2,-2
American Institute of Alternative Medicine,1,1,4,A,1,1,1,589,-347,3247,2466,-1958,4481,814,17,1515,82,45,5,1,0,1,0,0
American Institute of Beauty,1,1,-2,A,1,1,1,589,-347,3247,2466,-1958,4481,814,17,1515,61,53,7,0,-2,-2,-2,-2
American Institute of Healthcare & Technology,1,1,-2,A,1,1,1,10,80,90,15,85,100,5,65,70,86,75,10,0,0,0,0,0
American Institute of Interior Design,1,1,-2,A,1,1,1,589,-347,3247,2466,-1958,4481,814,17,1515,82,45,15,0,-2,-2,-2,-2
American Institute of Massage Therapy,1,1,-2,A,1,1,1,589,-347,3247,2466,-1958,4481,814,17,1515,88,45,10,0,-2,-2,-2,-2
American Institute of Medical Sciences & Education,1,1,-2,A,1,1,1,589,-347,3247,2466,-1958,4481,814,17,1515,80,50,15,0,0,0,0,0
American Institute-Clifton,1,1,-2,A,1,1,1,589,-347,3247,2466,-1958,4481,814,17,1515,68,45,21,0,0,0,0,0
American Institute-Somerset,1,1,-2,A,1,1,1,589,-347,3247,2466,-1958,4481,814,17,1515,49,45,19,0,-2,-2,-2,-2
American Institute-Toms River,1,1,-2,A,1,1,1,589,-347,3247,2466,-1958,4481,814,17,1515,57,45,21,0,0,0,0,0
American Institute-West Hartford,1,1,-2,A,1,1,1,589,-347,3247,2466,-1958,4481,814,17,1515,54,45,17,0,0,0,0,0
American InterContinental University,1,1,-2,A,1,1,1,589,-347,3247,2466,-1958,4481,814,17,1515,28,4,43,1,1,1,1,0
American InterContinental University-Atlanta,1,1,-2,A,1,1,1,589,-347,3247,2466,-1958,4481,814,17,1515,37,38,13,1,1,1,0,0
American InterContinental University-Houston,1,1,-2,A,1,1,1,589,-347,3247,2466,-1958,4481,814,17,1515,50,0,13,1,1,1,0,0
American International College,1,1,-2,A,1,1,1,600,757,1357,871,1085,1956,163,179,342,70,0,18,1,1,1,1,1
American Islamic College,1,2,-2,A,1,1,5,589,-347,3247,0,0,0,814,17,1515,82,45,2,0,1,1,0,0
American Jewish University,1,1,2,A,1,1,1,589,-347,3247,2466,-1958,4481,814,17,1515,82,45,4,0,1,1,0,0
American Massage & Bodywork Institute,1,1,-2,A,1,1,1,589,-347,3247,2466,-1958,4481,814,17,1515,82,45,10,0,-2,-2,-2,-2
American Medical Academy,1,1,2,A,1,1,1,589,-347,3247,2466,-1958,4481,814,17,1515,82,45,6,1,1,0,0,0
American Medical Institute Inc.,1,1,-2,N,1,1,1,589,-347,3247,2466,-1958,4481,814,17,1515,82,45,2,0,-2,-2,-2,-2
American Medical Sciences Center,1,1,-2,A,1,1,1,589,-347,3247,2466,-1958,4481,814,17,1515,82,45,10,1,1,0,0,0
American Musical and Dramatic Academy,1,1,-2,A,1,1,1,660,1618,2278,1466,3623,5130,137,279,416,65,45,5,1,1,1,0,0
American National University,1,1,2,A,1,1,1,589,-347,3247,2466,-1958,4481,814,17,1515,0,50,39,1,1,1,0,0
American National University-Pikeville,1,1,2,A,1,1,1,589,-347,3247,2466,-1958,4481,814,17,1515,82,45,19,1,1,0,0,0
American Public University System,1,1,-2,A,1,1,1,589,-347,3247,2466,-1958,4481,814,17,1515,98,88,23,1,1,1,1,0
American River College,1,1,-2,A,1,1,1,589,-347,3247,2466,-1958,4481,814,17,1515,64,31,25,1,0,0,0,0
American Samoa Community College,1,1,2,A,1,1,1,589,-347,3247,2466,-1958,4481,814,17,1515,82,45,14,1,1,0,0,0
American School of Nursing and Medical Careers,1,1,-1,A,1,1,5,589,-347,3247,2466,-1958,4481,814,17,1515,82,45,11,,-1,-1,-1,-1
American Sentinel University,1,1,2,A,1,1,1,589,-347,3247,2466,-1958,4481,814,17,1515,82,45,11,0,1,1,1,0
American Technical Institute,1,1,-2,A,1,1,1,589,-347,3247,2466,-1958,4481,814,17,1515,71,45,6,0,-2,-2,-2,-2
American Trade School,1,1,-2,A,1,1,1,589,-347,3247,2466,-1958,4481,814,17,1515,71,45,9,1,0,0,0,0
American University,1,1,-2,A,1,1,1,2627,5117,7744,7125,12911,20036,546,1061,1607,85,0,11,1,1,1,1,1
American University of Health Sciences,1,1,2,A,1,1,1,589,-347,3247,2466,-1958,4481,814,17,1515,82,45,16,0,1,1,0,1
American University of Puerto Rico,1,1,-2,A,1,1,1,589,-347,3247,2466,-1958,4481,814,17,1515,69,45,15,1,1,1,0,0
American University of Puerto Rico,1,1,-2,A,1,1,1,589,-347,3247,2466,-1958,4481,814,17,1515,69,45,15,1,1,1,0,0
American University of Puerto Rico,1,1,-2,A,1,1,1,589,-347,3247,2466,-1958,4481,814,17,1515,69,45,15,1,1,1,0,0
American University of Puerto Rico,1,1,-2,A,1,1,1,589,-347,3247,2466,-1958,4481,814,17,1515,69,45,15,1,1,1,0,0
American University of Puerto Rico,1,1,-2,A,1,1,1,589,-347,3247,2466,-1958,4481,814,17,1515,75,0,17,1,1,1,0,0
American University of Puerto Rico,1,1,-2,A,1,1,1,589,-347,3247,2466,-1958,4481,814,17,1515,75,0,17,1,1,1,0,0
American University of Puerto Rico,1,1,-2,A,1,1,1,589,-347,3247,2466,-1958,4481,814,17,1515,75,0,17,1,1,1,0,0
American University of Puerto Rico,1,1,-2,A,1,1,1,589,-347,3247,2466,-1958,4481,814,17,1515,75,0,17,1,1,1,0,0
AmeriTech College-Draper,1,1,-2,A,1,1,1,20,185,205,20,185,205,13,82,95,88,0,13,1,1,1,0,0
AmeriTech College-Provo,1,1,-1,A,1,1,5,589,-347,3247,2466,-1958,4481,814,17,1515,82,45,11,,-1,-1,-1,-1
AMG School of Licensed Practical Nursing,1,1,-2,A,1,1,1,589,-347,3247,2466,-1958,4481,814,17,1515,74,45,30,0,-2,-2,-2,-2
Amherst College,1,1,-2,A,1,1,1,566,687,1254,4815,5785,10603,215,219,434,91,45,7,0,1,0,0,0
Arthur's Beauty College,1,1,-2,A,1,1,1,589,-347,3247,2466,-1958,4481,814,17,1515,53,45,19,0,-2,-2,-2,-2
Arthur's Beauty College,1,1,-2,A,1,1,1,589,-347,3247,2466,-1958,4481,814,17,1515,53,45,19,0,-2,-2,-2,-2
Arthur's Beauty College,1,1,-2,A,1,1,1,589,-347,3247,2466,-1958,4481,814,17,1515,53,45,19,0,-2,-2,-2,-2
Arthur's Beauty College,1,1,-2,A,1,1,1,589,-347,3247,2466,-1958,4481,814,17,1515,53,45,19,0,-2,-2,-2,-2
Arthur's Beauty College,1,1,-2,A,1,1,1,589,-347,3247,2466,-1958,4481,814,17,1515,53,45,19,0,-2,-2,-2,-2
Arthur's Beauty College,1,1,-2,A,1,1,1,589,-347,3247,2466,-1958,4481,814,17,1515,53,45,19,0,-2,-2,-2,-2
Arthur's Beauty College,1,1,-2,A,1,1,1,589,-347,3247,2466,-1958,4481,814,17,1515,53,45,19,0,-2,-2,-2,-2
Arthur's Beauty College,1,1,-2,A,1,1,1,589,-347,3247,2466,-1958,4481,814,17,1515,53,45,19,0,-2,-2,-2,-2
Arthur's Beauty College,1,1,-2,A,1,1,1,589,-347,3247,2466,-1958,4481,814,17,1515,53,45,19,0,-2,-2,-2,-2
Arthur's Beauty College,1,1,-2,A,1,1,1,589,-347,3247,2466,-1958,4481,814,17,1515,53,45,19,0,-2,-2,-2,-2
Arthur's Beauty College,1,1,-2,A,1,1,1,589,-347,3247,2466,-1958,4481,814,17,1515,53,45,19,0,-2,-2,-2,-2
Arthur's Beauty College,1,1,-2,A,1,1,1,589,-347,3247,2466,-1958,4481,814,17,1515,53,45,19,0,-2,-2,-2,-2
Arthur's Beauty College,1,1,-2,A,1,1,1,589,-347,3247,2466,-1958,4481,814,17,1515,53,45,19,0,-2,-2,-2,-2
Arthur's Beauty College,1,1,-2,A,1,1,1,589,-347,3247,2466,-1958,4481,814,17,1515,53,45,19,0,-2,-2,-2,-2
Arthur's Beauty College,1,1,-2,A,1,1,1,589,-347,3247,2466,-1958,4481,814,17,1515,53,45,19,0,-2,-2,-2,-2
Arthur's Beauty College,1,1,-2,A,1,1,1,589,-347,3247,2466,-1958,4481,814,17,1515,53,45,19,0,-2,-2,-2,-2
Amridge University,1,1,-2,A,1,1,1,589,-347,3247,2466,-1958,4481,814,17,1515,50,45,13,1,1,1,1,0
Amslee Institute,1,1,-2,A,1,1,6,589,-347,3247,2466,-1958,4481,814,17,1515,82,45,1,0,-2,-2,-2,-2
Anabaptist Mennonite Biblical Seminary,1,1,4,A,1,1,1,589,-347,3247,2466,-1958,4481,814,17,1515,82,45,11,0,0,1,0,0
Ancilla College,1,1,-2,A,1,1,1,589,-347,3247,2466,-1958,4481,814,17,1515,60,45,8,1,0,0,0,0
Anderson University,1,1,-2,A,1,1,1,1010,1587,2597,1470,2366,3905,160,167,327,71,45,8,0,1,1,1,1
Anderson University,1,1,-2,A,1,1,1,1010,1587,2597,1470,2366,3905,160,167,327,71,45,8,1,1,1,1,0
Anderson University,1,1,-2,A,1,1,1,1010,1587,2597,1470,2366,3905,160,167,327,71,45,8,0,1,1,1,1
Anderson University,1,1,-2,A,1,1,1,1010,1587,2597,1470,2366,3905,160,167,327,71,45,8,1,1,1,1,0
Asbury University,1,1,-2,A,1,1,1,368,627,995,525,799,1324,110,154,264,81,0,12,1,1,1,0,0
Anderson University,1,1,-2,A,1,1,1,665,1587,2252,1111,2693,3804,239,459,698,84,45,16,0,1,1,1,1
Anderson University,1,1,-2,A,1,1,1,665,1587,2252,1111,2693,3804,239,459,698,84,45,16,1,1,1,1,0
Anderson University,1,1,-2,A,1,1,1,665,1587,2252,1111,2693,3804,239,459,698,84,45,16,0,1,1,1,1
Anderson University,1,1,-2,A,1,1,1,665,1587,2252,1111,2693,3804,239,459,698,84,45,16,1,1,1,1,0
Andrew College,1,1,-2,A,1,1,1,174,196,370,281,350,631,60,45,105,75,45,8,1,1,0,0,0
Andrews University,1,1,-2,A,1,1,1,322,375,697,620,809,1429,125,132,257,85,67,10,1,1,1,1,0
Angeles College,1,1,2,A,1,1,1,589,-347,3247,2466,-1958,4481,814,17,1515,82,45,25,0,1,1,0,0
Angeles Institute,1,1,-2,A,1,1,1,589,-347,3247,2466,-1958,4481,814,17,1515,100,45,10,0,-2,-2,-2,-2
Angelina College,1,1,-2,A,1,1,1,589,-347,3247,2466,-1958,4481,814,17,1515,15,13,14,1,0,0,0,0
Angelo State University,1,1,-2,A,1,1,1,1102,1829,2931,1413,2337,3750,496,781,1277,71,17,21,0,1,1,0,1
Ann Webb Skin Institute,1,1,-2,A,1,1,1,589,-347,3247,2466,-1958,4481,814,17,1515,93,45,25,0,-2,-2,-2,-2
Anna Maria College,1,1,-2,A,1,1,1,1259,1092,2360,1528,1196,2742,132,110,242,65,45,12,0,1,1,0,0
Anne Arundel Community College,1,1,-2,A,1,1,1,589,-347,3247,2466,-1958,4481,814,17,1515,65,47,17,1,0,0,0,0
Annenberg School of Nursing,1,1,-2,A,1,1,1,4,3,7,4,3,7,4,3,7,75,45,12,0,-2,-2,-2,-2
Anoka Technical College,1,1,-2,A,1,1,1,589,-347,3247,2466,-1958,4481,814,17,1515,60,52,15,1,0,0,0,0
Anoka-Ramsey Community College,1,1,-2,A,1,1,1,589,-347,3247,2466,-1958,4481,814,17,1515,53,47,27,1,0,0,0,0
Another Level Barbering and Cosmetology School,1,1,-2,A,1,1,1,589,-347,3247,2466,-1958,4481,814,17,1515,75,20,2,0,-2,-2,-2,-2
Anousheh School of Hair,1,1,-2,A,1,1,1,589,-347,3247,2466,-1958,4481,814,17,1515,75,45,8,0,-2,-2,-2,-2
Anson College of Cosmetology,1,1,-2,A,1,1,1,589,-347,3247,2466,-1958,4481,814,17,1515,100,45,2,0,-2,-2,-2,-2
Antelope Valley College,1,1,2,A,1,1,1,589,-347,3247,2466,-1958,4481,814,17,1515,82,45,24,1,1,0,0,0
Antilles School of Technical Careers,1,1,-2,A,1,1,1,589,-347,3247,2466,-1958,4481,814,17,1515,60,45,33,0,0,0,0,0
Antioch College,1,1,-2,A,1,1,1,40,119,159,51,137,188,16,28,44,71,45,7,0,1,0,0,0
Antioch College AG,1,1,-2,A,1,1,1,589,-347,3247,2466,-1958,4481,814,17,1515,100,50,5,1,1,0,0,0
Antioch University Online,1,1,1,A,1,1,6,589,-347,3247,2466,-1958,4481,814,17,1515,82,45,7,0,1,1,0,0
Antioch University-Los Angeles,1,1,1,A,1,1,1,589,-347,3247,2466,-1958,4481,814,17,1515,82,45,5,0,1,1,0,0
Antioch University-Midwest,1,1,1,A,1,1,1,589,-347,3247,2466,-1958,4481,814,17,1515,82,45,11,0,1,1,0,0
Antioch University-New England,1,1,4,A,1,1,1,589,-347,3247,2466,-1958,4481,814,17,1515,82,45,11,0,0,1,1,1
Antioch University-PhD Program in Leadership and Change,1,2,6,A,1,1,5,589,-347,3247,2466,-1958,4481,814,17,1515,82,45,11,0,0,1,1,0
Antioch University-Santa Barbara,1,1,1,A,1,1,1,589,-347,3247,2466,-1958,4481,814,17,1515,82,45,7,0,1,1,0,1
Antioch University-Seattle,1,1,1,A,1,1,1,589,-347,3247,2466,-1958,4481,814,17,1515,82,45,3,0,1,1,0,1
Antioch University-System Administration,1,1,-2,A,1,1,2,589,-347,3247,2466,-1958,4481,814,17,1515,82,45,11,0,1,1,1,1
AOMA Graduate School of Integrative Medicine,1,1,3,A,1,1,1,589,-347,3247,2466,-1958,4481,814,17,1515,82,45,11,0,0,1,1,1
Aparicio-Levy Technical College,1,1,-2,A,1,1,1,589,-347,3247,2466,-1958,4481,814,17,1515,78,45,17,0,-2,-2,-2,-2
Apex Academy Hair Skin Nails School of Cosmetology,1,1,-2,A,1,1,1,589,-347,3247,2466,-1958,4481,814,17,1515,100,45,6,0,-2,-2,-2,-2
Apex College of Veterinary Technology,1,1,-2,N,1,1,1,589,-347,3247,2466,-1958,4481,814,17,1515,82,100,12,1,0,0,0,0
Apex Technical School,1,1,-2,A,1,1,1,589,-347,3247,2466,-1958,4481,814,17,1515,53,68,18,0,-2,-2,-2,-2
Apollo Career Center,1,1,-2,A,1,1,1,589,-347,3247,2466,-1958,4481,814,17,1515,78,82,5,0,-2,-2,-2,-2
Appalachian Beauty School,1,1,-2,A,1,1,1,589,-347,3247,2466,-1958,4481,814,17,1515,70,45,20,0,-2,-2,-2,-2
Appalachian Bible College,1,1,-2,A,1,1,1,24,34,58,66,53,119,15,24,39,82,0,7,1,1,1,0,0
Appalachian College of Pharmacy,1,1,3,A,1,1,1,589,-347,3247,2466,-1958,4481,814,17,1515,82,45,11,0,0,0,0,1
Appalachian School of Law,1,1,4,A,1,1,1,589,-347,3247,2466,-1958,4481,814,17,1515,82,45,11,0,0,1,0,1
Asher College,1,1,-2,A,1,1,1,589,-347,3247,2466,-1958,4481,814,17,1515,18,36,23,1,0,0,0,0
Appalachian State University,1,1,-2,A,1,1,1,5544,8909,14453,7514,10664,18178,1515,2391,3906,86,40,16,0,1,1,1,0
Applied Technology Services,1,2,-2,A,2,1,1,3,7,10,5,9,14,3,7,10,75,45,13,0,-2,-2,-2,-2
Aquinas College,1,1,-2,A,1,1,1,486,828,1314,731,1122,1853,110,170,280,72,20,11,1,1,1,0,0
Aquinas Institute of Theology,1,1,4,A,1,1,1,589,-347,3247,2466,-1958,4481,814,17,1515,82,45,11,0,0,1,1,0
Arapahoe Community College,1,1,-2,A,1,1,1,589,-347,3247,2466,-1958,4481,814,17,1515,55,39,23,1,1,0,0,0
Arcadia University,1,1,-2,A,1,1,1,1889,4652,6541,2717,6167,8884,158,320,478,74,100,11,0,1,1,1,1
Arclabs,1,1,-2,A,1,1,1,589,-347,3247,2466,-1958,4481,814,17,1515,88,74,20,0,-2,-2,-2,-2
Arizona Academy of Beauty-East,1,1,-2,A,1,1,1,589,-347,3247,2466,-1958,4481,814,17,1515,100,45,20,0,-2,-2,-2,-2
Arizona Board of Regents,1,1,-2,A,1,1,2,589,-347,3247,2466,-1958,4481,814,17,1515,82,45,11,0,1,1,1,1
Arizona Christian University,1,1,-2,A,1,1,1,352,204,556,498,280,778,179,103,282,47,100,12,1,1,0,0,0
Arizona College of Nursing-Tucson,1,1,-2,N,1,1,1,1,20,21,1,20,21,1,10,11,82,45,20,0,1,0,0,0
Arizona College of Nursing-Fort Lauderdale,1,1,-2,N,1,1,1,2,5,7,2,5,7,0,1,1,82,45,20,0,1,0,0,0
Arizona College of Nursing-Las Vegas,1,1,-2,A,1,1,1,5,29,34,5,33,38,1,15,16,100,13,20,0,1,0,0,0
Arizona College of Nursing-Phoenix,1,1,-2,N,1,1,1,4,26,30,4,29,33,1,8,9,82,45,20,0,1,0,0,0
Arizona College of Nursing-Tampa,1,1,-2,N,1,1,1,4,17,21,4,20,24,3,11,14,82,45,20,0,1,0,0,0
Arizona College of Nursing-Tempe,1,1,-2,A,1,1,1,8,31,39,9,32,41,4,18,22,86,45,20,0,1,0,0,0
Arizona College-Dallas,1,1,-2,A,1,1,1,1,18,19,1,19,20,1,5,6,100,20,20,0,1,0,0,0
Arizona College-Glendale,1,1,-2,A,1,1,1,589,-347,3247,2466,-1958,4481,814,17,1515,65,45,20,1,0,0,0,0
Arizona College-Mesa,1,1,-2,A,1,1,1,589,-347,3247,2466,-1958,4481,814,17,1515,50,45,20,1,0,0,0,0
Arizona Culinary Institute,1,1,-2,A,1,1,1,589,-347,3247,2466,-1958,4481,814,17,1515,92,45,8,0,-2,-2,-2,-2
Arizona School of Acupuncture and Oriental Medicine,1,1,2,A,1,1,1,589,-347,3247,2466,-1958,4481,814,17,1515,82,45,11,0,0,1,0,0
Arnolds Beauty School,1,1,-2,A,1,1,1,589,-347,3247,2466,-1958,4481,814,17,1515,90,45,12,0,-2,-2,-2,-2
Arizona School of Integrative Studies,1,1,-2,A,1,1,1,589,-347,3247,2466,-1958,4481,814,17,1515,82,45,10,0,-2,-2,-2,-2
Arizona State University - Washington Center,1,3,-1,G,1,3,1,589,-347,3247,2466,-1958,4481,814,17,1515,82,45,11,,-1,-1,-1,-1
Arizona State University Campus Immersion,1,1,-2,A,1,1,1,21763,25527,47290,25207,28309,53516,6105,6572,12677,86,50,18,0,1,1,1,1
Arizona State University Digital Immersion,1,1,-2,A,1,1,1,1389,2646,4035,2059,3500,5559,817,1667,2484,82,49,26,0,1,1,1,0
Arizona State University-Downtown Phoenix,1,3,-1,G,1,3,1,589,-347,3247,2466,-1958,4481,814,17,1515,82,45,11,,-1,-1,-1,-1
Arizona State University-Polytechnic,1,3,-1,G,1,3,1,589,-347,3247,2466,-1958,4481,814,17,1515,82,45,11,,-1,-1,-1,-1
Arizona State University-West,1,3,-1,G,1,3,1,589,-347,3247,2466,-1958,4481,814,17,1515,82,45,11,,-1,-1,-1,-1
Arizona Western College,1,1,-2,A,1,1,1,589,-347,3247,2466,-1958,4481,814,17,1515,61,41,17,1,0,0,0,0
Arkansas Baptist College,1,1,2,A,1,1,1,589,-347,3247,2466,-1958,4481,814,17,1515,43,38,22,1,1,0,0,0
Arkansas Beauty College,1,1,-2,A,1,1,1,589,-347,3247,2466,-1958,4481,814,17,1515,87,67,7,0,-2,-2,-2,-2
Arthur's Beauty College,1,1,-2,A,1,1,1,589,-347,3247,2466,-1958,4481,814,17,1515,71,45,15,0,-2,-2,-2,-2
Arthur's Beauty College,1,1,-2,A,1,1,1,589,-347,3247,2466,-1958,4481,814,17,1515,71,45,15,0,-2,-2,-2,-2
Arthur's Beauty College,1,1,-2,A,1,1,1,589,-347,3247,2466,-1958,4481,814,17,1515,71,45,15,0,-2,-2,-2,-2
Arthur's Beauty College,1,1,-2,A,1,1,1,589,-347,3247,2466,-1958,4481,814,17,1515,71,45,15,0,-2,-2,-2,-2
Arthur's Beauty College,1,1,-2,A,1,1,1,589,-347,3247,2466,-1958,4481,814,17,1515,71,45,15,0,-2,-2,-2,-2
Arthur's Beauty College,1,1,-2,A,1,1,1,589,-347,3247,2466,-1958,4481,814,17,1515,71,45,15,0,-2,-2,-2,-2
Arthur's Beauty College,1,1,-2,A,1,1,1,589,-347,3247,2466,-1958,4481,814,17,1515,71,45,15,0,-2,-2,-2,-2
Arthur's Beauty College,1,1,-2,A,1,1,1,589,-347,3247,2466,-1958,4481,814,17,1515,71,45,15,0,-2,-2,-2,-2
Arthur's Beauty College,1,1,-2,A,1,1,1,589,-347,3247,2466,-1958,4481,814,17,1515,71,45,15,0,-2,-2,-2,-2
Arthur's Beauty College,1,1,-2,A,1,1,1,589,-347,3247,2466,-1958,4481,814,17,1515,71,45,15,0,-2,-2,-2,-2
Arthur's Beauty College,1,1,-2,A,1,1,1,589,-347,3247,2466,-1958,4481,814,17,1515,71,45,15,0,-2,-2,-2,-2
Arthur's Beauty College,1,1,-2,A,1,1,1,589,-347,3247,2466,-1958,4481,814,17,1515,71,45,15,0,-2,-2,-2,-2
Arthur's Beauty College,1,1,-2,A,1,1,1,589,-347,3247,2466,-1958,4481,814,17,1515,71,45,15,0,-2,-2,-2,-2
Arthur's Beauty College,1,1,-2,A,1,1,1,589,-347,3247,2466,-1958,4481,814,17,1515,71,45,15,0,-2,-2,-2,-2
Arthur's Beauty College,1,1,-2,A,1,1,1,589,-347,3247,2466,-1958,4481,814,17,1515,71,45,15,0,-2,-2,-2,-2
Arthur's Beauty College,1,1,-2,A,1,1,1,589,-347,3247,2466,-1958,4481,814,17,1515,71,45,15,0,-2,-2,-2,-2
Arkansas Beauty School-Little Rock,1,1,-2,A,1,1,1,589,-347,3247,2466,-1958,4481,814,17,1515,67,45,20,0,-2,-2,-2,-2
Arkansas College of Barbering and Hair Design,1,1,-2,A,1,1,1,589,-347,3247,2466,-1958,4481,814,17,1515,60,45,20,0,-2,-2,-2,-2
Arkansas Colleges of Health Education,1,1,4,A,1,1,1,589,-347,3247,2466,-1958,4481,814,17,1515,82,45,11,0,0,1,0,1
Arkansas Northeastern College,1,1,-2,A,1,1,1,589,-347,3247,2466,-1958,4481,814,17,1515,52,21,17,1,0,0,0,0
Arkansas State University,1,1,-2,A,1,1,1,1426,2494,3921,2252,3580,5836,494,799,1293,79,33,14,1,1,1,1,1
Arkansas State University Mid-South,1,1,-2,A,1,1,1,589,-347,3247,2466,-1958,4481,814,17,1515,55,36,9,1,0,0,0,0
