institution,publicflag,postsecondaryflag,yearsofcollegerequired,inststatus,postsecondaryprimary,activeflag,titleiveligible,admissionsmen,admissionswomen,admissionstotal,applicantsmen,applicantswomen,applicantstotal,enrolledmen,enrolledwomen,enrolledtotal,retentionrate_fulltime,retentionrate_parttime,studenttofacultyratio,associatesflag,bachelorsflag,mastersflag,phdresearchflag,phdproflag
Tennessee College of Applied Technology-Ripley,1,1,-2,A,1,1,1,589,-347,3247,2466,-1958,4481,814,17,1515,69,45,13,0,0,0,0,0
Tennessee College of Applied Technology-Shelbyville,1,1,-2,A,1,1,1,589,-347,3247,2466,-1958,4481,814,17,1515,100,100,20,0,0,0,0,0
Tennessee College of Applied Technology-Whiteville,1,1,-2,A,1,1,1,589,-347,3247,2466,-1958,4481,814,17,1515,81,33,12,0,0,0,0,0
Tennessee School of Beauty of Knoxville Inc,1,1,-2,A,1,1,1,589,-347,3247,2466,-1958,4481,814,17,1515,85,45,20,0,-2,-2,-2,-2
Tennessee State University,1,1,-2,A,1,1,1,589,-347,3247,2466,-1958,4481,814,17,1515,64,53,12,1,1,1,1,0
Tennessee Technological University,1,1,-2,A,1,1,1,2684,2716,5400,3386,3395,6781,934,786,1720,77,36,18,0,1,1,1,0
Tennessee Wesleyan University,1,1,-2,A,1,1,1,214,419,633,346,693,1039,78,116,194,77,45,11,0,1,1,0,0
Terra State Community College,1,1,-2,A,1,1,1,589,-347,3247,2466,-1958,4481,814,17,1515,56,42,14,1,0,0,0,0
Teterboro School of Aeronautics,1,1,-2,A,1,1,1,589,-347,3247,2466,-1958,4481,814,17,1515,89,45,13,0,0,0,0,0
Texarkana College,1,1,-2,A,1,1,1,589,-347,3247,2466,-1958,4481,814,17,1515,50,43,18,1,0,0,0,0
Texas A & M International University,1,1,-2,A,1,1,1,1561,2611,4172,2783,4296,7079,513,749,1262,74,50,24,0,1,1,1,0
Texas A & M University-College Station,1,1,-2,A,1,1,1,13571,13554,27125,21027,21845,42872,5593,5517,11110,94,93,19,0,1,1,1,1
