institution,predominantdemo_bachelors,predominantdemo_masters,predominantdemo_phd
Arthur's Beauty College,White,Asian,White
Arthur's Beauty College,White,Asian,White
Arthur's Beauty College,White,Asian,White
Arthur's Beauty College,White,Asian,White
Arthur's Beauty College,White,Asian,White
Arthur's Beauty College,White,Asian,White
Arthur's Beauty College,White,Asian,White
Arthur's Beauty College,White,Asian,White
Arthur's Beauty College,White,Asian,White
Arthur's Beauty College,White,Asian,White
Arthur's Beauty College,White,Asian,White
Arthur's Beauty College,White,Asian,White
Arthur's Beauty College,White,Asian,White
Arthur's Beauty College,White,Asian,White
Arthur's Beauty College,White,Asian,White
Arthur's Beauty College,White,Asian,White
Arthur's Beauty College,White,Asian,White
Arthur's Beauty College,White,Asian,White
Arthur's Beauty College,White,Asian,White
Arthur's Beauty College,White,Asian,White
Arthur's Beauty College,White,Asian,White
Arthur's Beauty College,White,Asian,White
Arthur's Beauty College,White,Asian,White
Arthur's Beauty College,White,Asian,White
Arthur's Beauty College,White,Asian,White
Arthur's Beauty College,White,Asian,White
Arthur's Beauty College,White,Asian,White
Arthur's Beauty College,White,Asian,White
Arthur's Beauty College,White,Asian,White
Arthur's Beauty College,White,Asian,White
Arthur's Beauty College,White,Asian,White
Arthur's Beauty College,White,Asian,White
Artistic Academy of Hair Design,White,Asian,White
Artistic Nails and Beauty Academy-Lakeland,White,Asian,White
Artistic Nails and Beauty Academy-Tampa,White,Asian,White
ASA College,Hispanic,Asian,White
Asbury Theological Seminary,White,White,White
Asher Institute of Hampton,White,Asian,White
Asheville-Buncombe Technical Community College,White,Asian,White
Ashford University,White,Black,White
Ashland Community and Technical College,White,Asian,White
Ashland County-West Holmes Career Center,White,Asian,White
Ashland University,White,White,Black
Ashtabula County Technical and Career Campus,White,Asian,White
ASI Career Institute,White,Asian,White
Asian-American International Beauty College,White,Asian,White
ASM Beauty World Academy,White,Asian,White
Asnuntuck Community College,White,Asian,White
Aspen Beauty Academy of Laurel,White,Asian,White
Aspen University,UnknownEthnicity,UnknownEthnicity,UnknownEthnicity
ASPIRA City College,White,Asian,White
Assabet Valley Regional Technical School,White,Asian,White
Associated Barber College of San Diego,White,Asian,White
Associated Beth Rivkah Schools,Asian,Asian,White
Associated Technical College-Los Angeles,White,Asian,White
Associated Technical College-San Diego,White,Asian,White
Assumption College for Sisters,White,Asian,White
Assumption University,White,White,White
ATA Career Education,White,Asian,White
ATA College,White,Asian,White
ATA College,White,Asian,White
ATA College,White,Asian,White
ATA College,White,Asian,White
ATA College,White,Asian,White
ATA College,White,Asian,White
ATA College,White,Asian,White
ATA College,White,Asian,White
ATA College,White,Asian,White
ATA College,White,Asian,White
ATA College,White,Asian,White
ATA College,White,Asian,White
ATA College,White,Asian,White
ATA College,White,Asian,White
ATA College,White,Asian,White
ATA College,White,Asian,White
ATA College,White,Asian,White
ATA College,White,Asian,White
ATA College,White,Asian,White
ATA College,White,Asian,White
ATA College,White,Asian,White
ATA College,White,Asian,White
ATA College,White,Asian,White
ATA College,White,Asian,White
ATA College,White,Asian,White
ATA College,White,Asian,White
ATA College,White,Asian,White
ATA College-Cincinnati,White,Asian,White
Atelier Esthetique Institute of Esthetics,White,Asian,White
Atenas College,Hispanic,Asian,White
Athena Career Academy,White,Asian,White
Athenaeum of Ohio,White,White,White
Athens State University,White,White,White
Athens Technical College,White,Asian,White
ATI College-Norwalk,Asian,Asian,White
Atlanta Institute of Music and Media,White,Asian,White
Atlanta Metropolitan State College,Black,Asian,White
Atlanta School of Massage,White,Asian,White
Atlanta Technical College,White,Asian,White
Atlanta's John Marshall Law School,White,Asian,White
Atlantic Beauty & Spa Academy LLC,White,Asian,White
Atlantic Cape Community College,White,Asian,White
Atlantic Institute of Oriental Medicine,White,White,White
Atlantic Technical College,White,Asian,White
Atlantic University College,Hispanic,Hispanic,White
Atlantis University,Hispanic,Hispanic,White
Auburn Career Center,White,Asian,White
Auburn University,White,White,White
Auburn University at Montgomery,White,White,Asian
Augsburg University,White,White,White
Augusta School of Massage,White,Asian,White
Augusta Technical College,White,Asian,White
Augusta University,White,White,White
Augustana College,White,Asian,White
Augustana University,White,White,White
Austin College,White,White,White
Auguste Escoffier School of Culinary Arts-Austin,White,Asian,White
Auguste Escoffier School of Culinary Arts-Boulder,White,Asian,White
Aultman College of Nursing and Health Sciences,White,Asian,White
Aurora University,White,White,White
Austin Career Institute,White,Asian,White
Austin Community College District,White,Asian,White
Austin Graduate School of Theology,White,Asian,White
Austin Kade Academy,White,Asian,White
Austin Peay State University,White,White,Asian
Austin Presbyterian Theological Seminary,White,White,White
Austin Presbyterian Theological Seminary- YMCA Outdoor Center,White,Asian,White
