institution,predominantdemo_bachelors,predominantdemo_masters,predominantdemo_phd
Durant Institute of Hair Design,White,Asian,White
Durham Technical Community College,White,Asian,White
Dutchess BOCES-Practical Nursing Program,White,Asian,White
Dutchess Community College,White,Asian,White
DuVall's School of Cosmetology,White,Asian,White
Dyersburg State Community College,White,Asian,White
E Q School of Hair Design,White,Asian,White
Ea La Mar's Cosmetology & Barber College,White,Asian,White
Eagle Gate College-Boise Campus,Asian,Asian,White
Eagle Gate College-Layton,White,Asian,White
Eagle Gate College-Murray,White,Asian,White
Earlham College,White,White,White
East Arkansas Community College,White,Asian,White
East Carolina University,White,White,White
East Central College,White,Asian,White
EduMed Partners,White,Asian,White
East Central Community College,White,Asian,White
East Central University,White,White,White
East Georgia State College,White,Asian,White
East Los Angeles College,White,Asian,White
East Mississippi Community College,White,Asian,White
East San Gabriel Valley Regional Occupational Program,White,Asian,White
East Stroudsburg University of Pennsylvania,White,White,White
East Tennessee State University,White,White,White
East Texas Baptist University,White,White,White
East Valley Institute of Technology,White,Asian,White
East West College of Natural Medicine,White,White,White
East West College of the Healing Arts,White,Asian,White
East-West Healing Arts Institute,White,Asian,White
East-West University,Black,Asian,White
Eastern Arizona College,White,Asian,White
Eastern Center for Arts and Technology,White,Asian,White
Eastern College of Health Vocations-Little Rock,White,Asian,White
Eastern College of Health Vocations-New Orleans,White,Asian,White
Eastern Connecticut State University,White,White,White
Eastern Florida State College,White,Asian,White
Eastern Gateway Community College,White,Asian,White
Eastern Illinois University,White,White,White
Eastern International College-Belleville,Hispanic,Asian,White
Eastern International College-Jersey City,Asian,Asian,White
Eastern Iowa Community College District,White,Asian,White
Eastern Kentucky University,White,White,White
Eastern Maine Community College,White,Asian,White
Eastern Mennonite University,White,White,White
Eastern Michigan University,White,White,White
Eastern Nazarene College,White,White,White
Eastern New Mexico University Ruidoso Branch Community College,White,Asian,White
Eastern New Mexico University-Main Campus,White,White,White
Eastern New Mexico University-Roswell Campus,White,Asian,White
Eastern Oklahoma County Technology Center,White,Asian,White
Eastern Oklahoma State College,White,Asian,White
Eastern Oregon University,White,White,White
Eastern School of Acupuncture and Traditional Medicine,White,White,White
Eastern Shore Community College,White,Asian,White
Eastern Suffolk BOCES,White,Asian,White
Eastern Suffolk BOCES,White,Asian,White
Eastern Suffolk BOCES,White,Asian,White
Eastern Suffolk BOCES,White,Asian,White
Eastern Suffolk BOCES,White,Asian,White
Eastern Suffolk BOCES,White,Asian,White
Eastern Suffolk BOCES,White,Asian,White
Eastern Suffolk BOCES,White,Asian,White
Eastern Suffolk BOCES,White,Asian,White
Eastern Suffolk BOCES,White,Asian,White
Eastern Suffolk BOCES,White,Asian,White
Eastern Suffolk BOCES,White,Asian,White
Eastern Suffolk BOCES,White,Asian,White
Eastern Suffolk BOCES,White,Asian,White
Eastern Suffolk BOCES,White,Asian,White
Eastern Suffolk BOCES,White,Asian,White
Eastern Suffolk BOCES,White,Asian,White
Eastern Suffolk BOCES,White,Asian,White
Eastern Suffolk BOCES,White,Asian,White
Eastern Suffolk BOCES,White,Asian,White
Eastern Suffolk BOCES,White,Asian,White
Eastern Suffolk BOCES,White,Asian,White
Eastern Suffolk BOCES,White,Asian,White
Eastern Suffolk BOCES,White,Asian,White
Eastern Suffolk BOCES,White,Asian,White
Eastern Suffolk BOCES,White,Asian,White
Eastern Suffolk BOCES,White,Asian,White
Eastern University,White,White,Black
Eastern Virginia Career College,White,Asian,White
Eastern Virginia Medical School,White,White,White
Eastern Washington University,White,White,White
Eastern West Virginia Community and Technical College,White,Asian,White
Eastern Wyoming College,White,Asian,White
Eastfield College,White,Asian,White
Eastland-Fairfield Career and Technical Schools,White,Asian,White
Eastwick College-Hackensack,White,Asian,White
Eastwick College-Nutley,White,Asian,White
Eastwick College-Ramsey,White,Asian,White
Ecclesia College,White,White,White
Eckerd College,White,Asian,White
eClips School of Cosmetology and Barbering,White,Asian,White
ECPI University,White,White,White
Ecumenical Theological Seminary,White,Black,White
Eden Theological Seminary,White,White,White
Edgecombe Community College,White,Asian,White
Edgewood College,White,White,White
EDIC College,Hispanic,Asian,White
Edinboro University of Pennsylvania,White,White,White
Edison State Community College,White,Asian,White
Edmonds College,White,Asian,White
EDP School,White,Asian,White
EDP University of Puerto Rico Inc-San Juan,Hispanic,Hispanic,White
Elite Welding Academy,White,Asian,White
Elite Welding Academy,White,Asian,White
Elite Welding Academy,White,Asian,White
Elite Welding Academy,White,Asian,White
EDP University of Puerto Rico Inc-San Sebastian,Hispanic,Hispanic,White
EDP University of Puerto Rico-Humacao,Asian,Asian,White
EDP University of Puerto Rico-Manati,Hispanic,Asian,White
EDP University of Puerto Rico-Villalba,Asian,Asian,White
Educational Technical College,White,Asian,White
Educational Technical College-Recinto de Bayamon,White,Asian,White
Educational Technical College-Recinto de Coamo,White,Asian,White
Educators of Beauty College of Cosmetology-Peru,White,Asian,White
Educators of Beauty College of Cosmetology-Rockford,White,Asian,White
Educators of Beauty College of Cosmetology-Sterling,White,Asian,White
Edward Via College of Osteopathic Medicine,White,Asian,White
Edward Waters College,Black,Asian,White
EHOVE Career Center,White,Asian,White
EINE Inc,White,Asian,White
El Camino Community College District,White,Asian,White
Elon University,White,White,White
El Paso Community College,White,Asian,White
Elaine Sterling Institute,White,Asian,White
Elaine Steven Beauty College,White,Asian,White
Electrical Training Center,White,Asian,White
Elevate Salon Institute,White,Asian,White
Elevate Salon Institute,White,Asian,White
Elevate Salon Institute,White,Asian,White
Elevate Salon Institute,White,Asian,White
Elevate Salon Institute,White,Asian,White
Elevate Salon Institute,White,Asian,White
Elevate Salon Institute,White,Asian,White
Elevate Salon Institute,White,Asian,White
Elevate Salon Institute-Chubbuck,White,Asian,White
Elevate Salon Institute-Westminster,White,Asian,White
Elgin Community College,White,Asian,White
Elim Bible Institute and College,White,Asian,White
Elite Academy of Hair Design,White,Asian,White
Elite College of Cosmetology,White,Asian,White
Elite Cosmetology School,White,Asian,White
Elite Cosmetology  Barber & Spa Academy,White,Asian,White
Elite School of Cosmetology,White,Asian,White
Elite Welding Academy,White,Asian,White
Elite Welding Academy,White,Asian,White
Elite Welding Academy,White,Asian,White
Elite Welding Academy,White,Asian,White
Elite Welding Academy LLC,White,Asian,White
Elizabeth City State University,Black,Black,White
Elizabeth Grady School of Esthetics and Massage Therapy,White,Asian,White
Elizabethtown College,White,White,White
Elizabethtown Community and Technical College,White,Asian,White
Ellsworth Community College,White,Asian,White
Elmezzi Graduate School of Molecular Medicine,White,Asian,White
Elmhurst University,White,White,White
Elmira Business Institute,White,Asian,White
Elmira College,White,White,White
Elyon College,White,Asian,White
Embry-Riddle Aeronautical University-Daytona Beach,White,White,White
Embry-Riddle Aeronautical University-Prescott,White,White,White
Embry-Riddle Aeronautical University-Worldwide,White,White,White
Emerald Coast Technical College,White,Asian,White
Emerson College,White,White,White
Emily Griffith Technical College,White,Asian,White
Emma's Beauty Academy-Juana Diaz,White,Asian,White
Emma's Beauty Academy-Mayaguez,White,Asian,White
Emmanuel College,White,Asian,White
Emmanuel College,White,Asian,White
Emmanuel College,White,Asian,White
Emmanuel College,White,Asian,White
Emmanuel College,White,White,White
Emmanuel College,White,White,White
Emmanuel College,White,White,White
Emmanuel College,White,White,White
Emmaus Bible College,White,Asian,White
Emory & Henry College,White,White,White
Emory University,White,White,White
Emory University-Oxford College,White,Asian,White
Emperor's College of Traditional Oriental Medicine,White,White,White
Empire Beauty  School-Lehigh Valley,White,Asian,White
Empire Beauty School-Augusta,White,Asian,White
Empire Beauty School-Aurora,White,Asian,White
Empire Beauty School-Avondale,White,Asian,White
Empire Beauty School-Bloomfield,White,Asian,White
Empire Beauty School-Bloomington,White,Asian,White
Empire Beauty School-Bordentown,White,Asian,White
Empire Beauty School-Boston,White,Asian,White
Empire Beauty School-Brooklyn,White,Asian,White
Empire Beauty School-Buffalo,White,Asian,White
Empire Beauty School-Center City Philadelphia,White,Asian,White
Empire Beauty School-Chandler,White,Asian,White
Empire Beauty School-Charlotte,White,Asian,White
Empire Beauty School-Cheltenham,White,Asian,White
Empire Beauty School-Chenoweth,White,Asian,White
Empire Beauty School-Cherry Hill,White,Asian,White
Empire Beauty School-Cincinnati,White,Asian,White
Empire Beauty School-Concord,White,Asian,White
Empire Beauty School-Dixie,White,Asian,White
Empire Beauty School-Dunwoody,White,Asian,White
Empire Beauty School-E Memphis,White,Asian,White
Empire Beauty School-Elizabethtown,White,Asian,White
Empire Beauty School-Flagstaff,White,Asian,White
Empire Beauty School-Florence,White,Asian,White
Empire Beauty School-Framingham,White,Asian,White
Empire Beauty School-Glen Burnie,White,Asian,White
Empire Beauty School-Green Bay,White,Asian,White
Empire Beauty School-Gwinnett,White,Asian,White
Empire Beauty School-Hanover,White,Asian,White
Empire Beauty School-Hanover Park,White,Asian,White
Empire Beauty School-Harrisburg,White,Asian,White
Empire Beauty School-Hooksett,White,Asian,White
Empire Beauty School-Hurstborne,White,Asian,White
Empire Beauty School-Indianapolis,White,Asian,White
Empire Beauty School-Jackson,White,Asian,White
Empire Beauty School-Kennesaw,White,Asian,White
