institution,sat25thperreading,sat75thperreading,sat25thpermath,sat75thpermath,act25thpercomp,act75thpercomp,act25thpereng,act75thpereng,act25thpermath,act75thpermath
American Film Institute Conservatory,455,625,502,661,22,22,23,27,22,24
American Fitness and Nutrition Academy,455,625,502,661,22,22,23,27,22,24
American Hair Academy,455,625,502,661,22,22,23,27,22,24
American Indian OIC Inc,455,625,502,661,22,22,23,27,22,24
American Institute of Alternative Medicine,455,625,502,661,22,22,23,27,22,24
American Institute of Alternative Medicine,455,625,502,661,22,22,23,27,22,24
American Institute of Alternative Medicine,455,625,502,661,22,22,23,27,22,24
American Institute of Alternative Medicine,455,625,502,661,22,22,23,27,22,24
American Institute of Alternative Medicine,455,625,502,661,22,22,23,27,22,24
American Institute of Alternative Medicine,455,625,502,661,22,22,23,27,22,24
American Institute of Alternative Medicine,455,625,502,661,22,22,23,27,22,24
American Institute of Alternative Medicine,455,625,502,661,22,22,23,27,22,24
American Institute of Beauty,455,625,502,661,22,22,23,27,22,24
American Institute of Healthcare & Technology,455,625,502,661,22,22,23,27,22,24
American Institute of Interior Design,455,625,502,661,22,22,23,27,22,24
American Institute of Massage Therapy,455,625,502,661,22,22,23,27,22,24
American Institute of Medical Sciences & Education,455,625,502,661,22,22,23,27,22,24
American Institute-Clifton,455,625,502,661,22,22,23,27,22,24
American Institute-Somerset,455,625,502,661,22,22,23,27,22,24
American Institute-Toms River,455,625,502,661,22,22,23,27,22,24
American Institute-West Hartford,455,625,502,661,22,22,23,27,22,24
American InterContinental University,455,625,502,661,22,22,23,27,22,24
American InterContinental University-Atlanta,455,625,502,661,22,22,23,27,22,24
American InterContinental University-Houston,455,625,502,661,22,22,23,27,22,24
American International College,440,550,450,550,22,29,23,27,22,24
American Islamic College,455,625,502,661,22,22,23,27,22,24
American Jewish University,455,625,502,661,22,22,23,27,22,24
American Massage & Bodywork Institute,455,625,502,661,22,22,23,27,22,24
American Medical Academy,455,625,502,661,22,22,23,27,22,24
American Medical Institute Inc.,455,625,502,661,22,22,23,27,22,24
American Medical Sciences Center,455,625,502,661,22,22,23,27,22,24
American Musical and Dramatic Academy,455,625,502,661,22,22,23,27,22,24
American National University,455,625,502,661,22,22,23,27,22,24
American National University-Pikeville,455,625,502,661,22,22,23,27,22,24
American Public University System,455,625,502,661,22,22,23,27,22,24
American River College,455,625,502,661,22,22,23,27,22,24
American Samoa Community College,455,625,502,661,22,22,23,27,22,24
American School of Nursing and Medical Careers,455,625,502,661,22,22,23,27,22,24
American Sentinel University,455,625,502,661,22,22,23,27,22,24
American Technical Institute,455,625,502,661,22,22,23,27,22,24
American Trade School,455,625,502,661,22,22,23,27,22,24
American University,630,710,590,680,27,32,28,34,24,29
American University of Health Sciences,455,625,502,661,22,22,23,27,22,24
American University of Puerto Rico,455,625,502,661,22,22,23,27,22,24
American University of Puerto Rico,455,625,502,661,22,22,23,27,22,24
American University of Puerto Rico,455,625,502,661,22,22,23,27,22,24
American University of Puerto Rico,455,625,502,661,22,22,23,27,22,24
American University of Puerto Rico,455,625,502,661,22,22,23,27,22,24
American University of Puerto Rico,455,625,502,661,22,22,23,27,22,24
American University of Puerto Rico,455,625,502,661,22,22,23,27,22,24
American University of Puerto Rico,455,625,502,661,22,22,23,27,22,24
AmeriTech College-Draper,455,625,502,661,22,22,23,27,22,24
AmeriTech College-Provo,455,625,502,661,22,22,23,27,22,24
AMG School of Licensed Practical Nursing,455,625,502,661,22,22,23,27,22,24
Amherst College,710,770,720,790,32,35,33,36,29,34
Arthur's Beauty College,455,625,502,661,22,22,23,27,22,24
Arthur's Beauty College,455,625,502,661,22,22,23,27,22,24
Arthur's Beauty College,455,625,502,661,22,22,23,27,22,24
Arthur's Beauty College,455,625,502,661,22,22,23,27,22,24
Arthur's Beauty College,455,625,502,661,22,22,23,27,22,24
Arthur's Beauty College,455,625,502,661,22,22,23,27,22,24
Arthur's Beauty College,455,625,502,661,22,22,23,27,22,24
Arthur's Beauty College,455,625,502,661,22,22,23,27,22,24
Arthur's Beauty College,455,625,502,661,22,22,23,27,22,24
Arthur's Beauty College,455,625,502,661,22,22,23,27,22,24
Arthur's Beauty College,455,625,502,661,22,22,23,27,22,24
Arthur's Beauty College,455,625,502,661,22,22,23,27,22,24
Arthur's Beauty College,455,625,502,661,22,22,23,27,22,24
Arthur's Beauty College,455,625,502,661,22,22,23,27,22,24
Arthur's Beauty College,455,625,502,661,22,22,23,27,22,24
Arthur's Beauty College,455,625,502,661,22,22,23,27,22,24
Amridge University,455,625,502,661,22,22,23,27,22,24
Amslee Institute,455,625,502,661,22,22,23,27,22,24
Anabaptist Mennonite Biblical Seminary,455,625,502,661,22,22,23,27,22,24
Ancilla College,455,625,502,661,22,22,23,27,22,24
Anderson University,470,580,480,580,18,25,18,24,18,25
Anderson University,470,580,480,580,18,25,18,24,18,25
Anderson University,470,580,480,580,18,25,18,24,18,25
Anderson University,470,580,480,580,18,25,18,24,18,25
Asbury University,550,660,530,660,21,28,20,29,19,26
Anderson University,455,625,502,661,22,22,23,27,22,24
Anderson University,455,625,502,661,22,22,23,27,22,24
Anderson University,455,625,502,661,22,22,23,27,22,24
Anderson University,455,625,502,661,22,22,23,27,22,24
Andrew College,480,540,440,540,16,20,15,18,15,20
Andrews University,520,680,510,700,21,28,21,30,19,27
Angeles College,455,625,502,661,22,22,23,27,22,24
Angeles Institute,455,625,502,661,22,22,23,27,22,24
Angelina College,455,625,502,661,22,22,23,27,22,24
Angelo State University,460,570,460,550,17,23,15,23,16,23
Ann Webb Skin Institute,455,625,502,661,22,22,23,27,22,24
Anna Maria College,455,625,502,661,22,22,23,27,22,24
Anne Arundel Community College,455,625,502,661,22,22,23,27,22,24
Annenberg School of Nursing,455,625,502,661,22,22,23,27,22,24
Anoka Technical College,455,625,502,661,22,22,23,27,22,24
Anoka-Ramsey Community College,455,625,502,661,22,22,23,27,22,24
Another Level Barbering and Cosmetology School,455,625,502,661,22,22,23,27,22,24
Anousheh School of Hair,455,625,502,661,22,22,23,27,22,24
Anson College of Cosmetology,455,625,502,661,22,22,23,27,22,24
Antelope Valley College,455,625,502,661,22,22,23,27,22,24
Antilles School of Technical Careers,455,625,502,661,22,22,23,27,22,24
Antioch College,575,605,620,680,22,23,21,28,17,27
Antioch College AG,455,625,502,661,22,22,23,27,22,24
Antioch University Online,455,625,502,661,22,22,23,27,22,24
Antioch University-Los Angeles,455,625,502,661,22,22,23,27,22,24
Antioch University-Midwest,455,625,502,661,22,22,23,27,22,24
Antioch University-New England,455,625,502,661,22,22,23,27,22,24
Antioch University-PhD Program in Leadership and Change,455,625,502,661,22,22,23,27,22,24
Antioch University-Santa Barbara,455,625,502,661,22,22,23,27,22,24
Antioch University-Seattle,455,625,502,661,22,22,23,27,22,24
Antioch University-System Administration,455,625,502,661,22,22,23,27,22,24
AOMA Graduate School of Integrative Medicine,455,625,502,661,22,22,23,27,22,24
Aparicio-Levy Technical College,455,625,502,661,22,22,23,27,22,24
Apex Academy Hair Skin Nails School of Cosmetology,455,625,502,661,22,22,23,27,22,24
Apex College of Veterinary Technology,455,625,502,661,22,22,23,27,22,24
Apex Technical School,455,625,502,661,22,22,23,27,22,24
Apollo Career Center,455,625,502,661,22,22,23,27,22,24
Appalachian Beauty School,455,625,502,661,22,22,23,27,22,24
Appalachian Bible College,510,580,410,530,16,23,16,25,16,24
Appalachian College of Pharmacy,455,625,502,661,22,22,23,27,22,24
Appalachian School of Law,455,625,502,661,22,22,23,27,22,24
Asher College,455,625,502,661,22,22,23,27,22,24
Appalachian State University,540,630,530,610,22,27,20,27,20,26
Applied Technology Services,455,625,502,661,22,22,23,27,22,24
Aquinas College,500,620,510,600,20,26,18,23,18,26
Aquinas Institute of Theology,455,625,502,661,22,22,23,27,22,24
