institution,professors,associateprof,assistantprof,instructors,lecturers,state,instlevel,instcontrol,hbcuflag,tribalflag,degofurbanization,instsize,gradrate4yrs,gradrate5yrs,gradrate6yrs,transferrate,gradrate,instructionalstaff,researchstaff,publicservicestaff,academicaffairstaff
Art Academy of Cincinnati,2,4,5,0,0,OH,1,2,2,2,11,1,42,48,48,20,48,24,0,1,2
Art Center College of Design,49,66,11,2,0,CA,1,2,2,2,12,2,33,64,71,20,71,246,0,0,0
ASA College,0,8,38,115,0,NY,1,3,2,2,11,2,22,34,71,7,29,247,0,0,31
Asbury Theological Seminary,34,9,2,0,0,KY,1,2,2,2,31,2,22,34,71,20,50,45,0,0,0
Asbury University,31,27,30,0,0,KY,1,2,2,2,31,2,53,61,63,20,64,121,0,0,7
Ashford University,28,44,39,8,0,CA,1,3,2,2,11,5,1,7,8,16,8,788,0,0,156
Ashland University,46,44,41,43,0,OH,1,2,2,2,31,2,52,61,62,27,62,288,0,0,161
Aspen University,0,0,0,34,0,CO,1,3,2,2,11,3,22,34,71,20,50,148,0,0,137
Associated Beth Rivkah Schools,166,182,201,56,19,NY,1,2,2,2,11,1,22,34,71,20,90,13,0,0,0
Assumption University,27,44,39,8,0,MA,1,2,2,2,12,2,70,73,73,20,73,189,0,0,5
Athenaeum of Ohio,1,3,2,0,0,OH,1,2,2,2,11,1,22,34,71,20,50,13,0,0,0
Athens State University,26,24,31,3,0,AL,1,1,2,2,31,2,22,34,71,20,50,113,0,0,26
ATI College-Norwalk,166,182,201,56,19,CA,1,3,2,2,21,1,22,34,71,20,60,6,0,0,0
Atlanta Metropolitan State College,5,10,11,8,4,GA,1,1,2,2,11,2,0,0,0,25,24,50,0,0,21
Atlanta's John Marshall Law School,6,9,0,0,0,GA,1,3,2,2,11,1,22,34,71,20,50,23,0,0,8
Atlantis University,0,0,0,0,0,FL,1,3,2,2,11,1,45,45,47,20,94,9,0,0,5
Auburn University,406,386,377,74,171,AL,1,1,2,2,13,5,51,74,79,14,79,1507,58,219,92
Auburn University at Montgomery,51,66,61,1,38,AL,1,1,2,2,12,3,10,24,30,35,30,257,0,6,32
Augsburg University,37,53,58,19,3,MN,1,2,2,2,11,2,47,56,59,2,59,235,0,0,0
Augusta University,202,244,363,39,50,GA,1,1,2,2,12,3,20,40,47,36,47,1081,203,4,103
Augustana College,68,50,34,43,0,IL,1,2,2,2,13,2,73,77,77,20,77,215,0,0,3
Augustana University,30,32,62,6,0,SD,1,2,2,2,12,2,56,71,72,21,72,146,1,2,4
Aultman College of Nursing and Health Sciences,0,2,8,2,0,OH,1,2,2,2,13,1,22,34,71,20,25,25,0,0,2
Aurora University,23,43,64,0,2,IL,1,2,2,2,21,3,47,55,58,20,58,265,0,0,52
Austin College,28,40,27,5,0,TX,1,2,2,2,13,2,66,71,71,20,71,106,0,0,4
Austin Community College District,329,147,47,4,0,TX,1,1,2,2,11,5,22,34,71,42,12,958,0,0,516
Austin Graduate School of Theology,166,182,201,56,19,TX,1,2,2,2,11,1,22,34,71,20,50,4,0,0,0
Austin Peay State University,134,100,117,39,0,TN,1,1,2,2,12,4,28,42,45,20,48,491,0,0,47
Austin Presbyterian Theological Seminary,9,5,2,1,0,TX,1,2,2,2,11,1,22,34,71,20,50,22,0,0,0
Ave Maria School of Law,17,0,7,0,0,FL,1,2,2,2,21,1,22,34,71,20,50,32,0,0,9
Averett University,13,18,21,3,0,VA,1,2,2,2,32,1,42,50,50,30,50,65,0,0,12
Averett University-Non-Traditional Programs,0,2,0,0,0,VA,1,2,2,2,32,1,22,34,71,20,50,26,0,0,5
Avila University,9,21,25,7,0,MO,1,2,2,2,11,2,35,48,51,23,51,109,1,0,36
Azusa Pacific University,141,120,166,20,0,CA,1,2,2,2,21,3,51,64,66,20,66,655,5,0,107
Babson College,60,52,24,2,49,MA,1,2,2,2,21,2,92,94,95,20,95,207,0,0,60
Bacone College,1,7,8,0,0,OK,1,2,2,2,32,1,4,8,8,47,9,21,0,4,0
Bais Binyomin Academy,166,182,201,56,19,NY,1,2,2,2,21,1,0,0,0,20,100,6,0,0,0
Bais HaMedrash and Mesivta of Baltimore,166,182,201,56,19,MD,1,2,2,2,21,1,50,50,50,50,50,5,0,0,0
Bais Medrash Elyon,166,182,201,56,19,NY,1,2,2,2,21,1,22,34,71,20,50,4,0,0,0
Bais Medrash Mayan Hatorah,166,182,201,56,19,NJ,1,2,2,2,13,1,4,21,33,13,71,13,0,0,0
Bais Medrash of Dexter Park,166,182,201,56,19,NY,1,2,2,2,21,1,22,34,71,20,50,6,0,0,0
Bais Medrash Toras Chesed,166,182,201,56,19,NJ,1,2,2,2,13,1,12,12,46,15,46,6,0,0,0
Baker College,11,25,18,72,0,MI,1,2,2,2,32,3,5,11,16,25,19,451,0,0,94
Baker University,23,27,24,2,0,KS,1,2,2,2,31,2,50,62,62,20,62,142,0,0,33
Bakersfield College,0,0,0,350,0,CA,1,1,2,2,11,5,22,34,71,9,21,467,0,0,42
Bakke Graduate University,166,182,201,56,19,TX,1,2,2,2,11,1,22,34,71,20,50,0,0,0,0
Baldwin Wallace University,78,70,67,2,0,OH,1,2,2,2,21,2,56,69,70,20,70,271,0,0,70
Ball State University,206,226,234,241,136,IN,1,1,2,2,13,5,54,65,67,23,67,1136,0,0,141
Bank Street College of Education,0,0,0,0,0,NY,1,2,2,2,11,1,22,34,71,20,50,27,0,0,139
Baptist Bible College,0,0,0,0,0,MO,1,2,2,2,12,1,20,30,36,21,37,16,1,0,0
Baptist Health Sciences University,5,13,38,2,0,TN,1,2,2,2,11,1,33,41,44,34,44,67,0,0,14
Baptist Health System School of Health Professions,0,0,0,0,0,TX,1,3,2,2,11,1,22,34,71,20,50,38,0,0,5
Baptist Missionary Association Theological Seminary,166,182,201,56,19,TX,1,2,2,2,32,1,22,34,71,20,50,9,0,0,0
Baptist University of the Americas,1,0,3,0,0,TX,1,2,2,2,11,1,6,28,28,20,26,13,0,0,9
Barclay College,11,0,0,0,0,KS,1,2,2,2,43,1,16,32,35,20,41,17,0,0,12
Bard College,53,69,69,2,0,NY,1,2,2,2,31,2,61,72,74,15,74,235,7,0,98
Bard College at Simon's Rock,0,0,0,0,0,MA,1,2,2,2,32,1,22,34,71,9,62,57,0,0,7
Barnard College,102,28,47,37,39,NY,1,2,2,2,11,2,85,89,90,5,90,277,3,0,54
Barnes-Jewish College Goldfarb School of Nursing,1,5,35,10,0,MO,1,2,2,2,11,1,22,34,71,20,50,66,1,0,14
Barry University,71,90,94,20,0,FL,1,2,2,2,21,3,18,33,36,40,36,387,0,0,16
Barton College,14,13,32,2,0,NC,1,2,2,2,31,2,44,51,52,20,52,80,0,0,5
Bastyr University,4,9,10,0,0,WA,1,2,2,2,21,1,22,34,71,20,50,76,5,0,13
Bates College,51,45,62,5,15,ME,1,2,2,2,13,2,90,92,92,6,92,186,0,0,46
Bay Mills Community College,0,0,0,0,0,MI,1,1,2,1,42,1,22,34,71,11,14,32,0,0,3
Bay Path University,17,24,34,5,0,MA,1,2,2,2,21,2,55,59,60,25,60,181,0,0,66
Bay State College,0,0,16,0,0,MA,1,3,2,2,11,1,8,8,8,24,18,44,0,0,8
Baylor College of Medicine,360,584,1703,616,0,TX,1,2,2,2,11,2,22,34,71,20,50,3523,1428,0,28
Baylor University,297,305,236,5,241,TX,1,2,2,2,12,4,64,78,79,20,79,1230,8,0,107
Be'er Yaakov Talmudic Seminary,0,0,0,28,0,NY,1,2,2,2,21,1,0,43,45,7,45,36,0,0,2
Beacon College,3,9,8,18,0,FL,1,2,2,2,22,1,40,60,60,20,62,41,0,0,38
Beal University,0,0,0,0,0,ME,1,3,2,2,13,1,22,34,71,3,63,26,0,0,1
Becker College,16,12,7,10,0,MA,1,2,2,2,12,2,44,50,51,20,50,99,0,0,39
Beckfield College-Florence,0,0,0,13,0,KY,1,3,2,2,21,1,0,0,0,20,38,13,0,0,1
Beis Medrash Heichal Dovid,166,182,201,56,19,NY,1,2,2,2,11,1,9,34,34,22,75,6,0,0,0
Belhaven University,24,18,24,9,0,MS,1,2,2,2,12,2,35,46,46,20,47,216,0,0,47
Bellarmine University,42,60,60,15,0,KY,1,2,2,2,11,2,55,64,64,25,64,263,0,0,31
Bellevue College,45,112,39,3,0,WA,1,1,2,2,12,4,22,34,71,15,34,336,0,0,16
Bellevue University,22,33,32,18,0,NE,1,2,2,2,21,4,9,20,23,23,23,366,0,0,47
Bellin College,0,0,11,7,0,WI,1,2,2,2,41,1,52,65,65,20,65,22,1,0,6
Bellingham Technical College,0,0,0,0,0,WA,1,1,2,2,13,2,22,34,71,10,52,82,0,0,12
Belmont Abbey College,8,32,23,3,11,NC,1,2,2,2,22,2,40,45,46,20,46,94,0,0,14
Belmont University,113,127,102,41,0,TN,1,2,2,2,11,3,60,70,71,20,71,534,0,0,43
Beloit College,33,30,21,0,0,WI,1,2,2,2,13,1,68,75,78,20,78,93,0,0,0
Bemidji State University,41,49,72,0,0,MN,1,1,2,2,33,2,30,43,45,34,46,184,0,0,58
Benedict College,15,35,16,22,0,SC,1,2,1,2,12,2,15,26,28,29,28,99,0,0,42
Benedictine College,26,41,44,2,0,KS,1,2,2,2,32,2,52,65,65,26,65,147,0,0,3
Benedictine University,48,35,47,11,0,IL,1,2,2,2,21,2,33,44,46,2,46,221,5,2,21
Benjamin Franklin Institute of Technology,4,10,9,9,0,MA,1,2,2,2,11,1,22,34,71,10,51,41,0,0,14
Bennett College,1,8,14,2,0,NC,1,2,1,2,11,1,17,26,29,47,29,30,0,0,2
Bennington College,0,0,0,0,0,VT,1,2,2,2,32,1,61,70,71,20,71,82,0,0,17
Bentley University,91,53,55,0,84,MA,1,2,2,2,13,3,84,89,90,7,90,330,0,0,23
Berea College,32,67,43,4,0,KY,1,2,2,2,32,2,50,66,67,18,67,154,0,0,33
Bergin University of Canine Studies,166,182,201,56,19,CA,1,2,2,2,23,1,22,34,71,20,50,7,0,0,1
Berkeley College-New York,0,0,0,0,0,NY,1,3,2,2,11,2,24,27,29,16,31,79,0,0,54
Berkeley College-Woodland Park,0,0,0,0,0,NJ,1,3,2,2,21,2,29,35,36,13,48,128,0,0,94
Berklee College of Music,184,98,42,0,0,MA,1,2,2,2,11,3,57,65,68,11,65,493,0,0,67
Berry College,40,49,51,8,11,GA,1,2,2,2,23,2,63,69,70,20,70,175,0,0,0
Bet Medrash Gadol Ateret Torah,0,0,0,12,0,NY,1,2,2,2,11,1,0,0,0,25,0,12,0,0,0
Beth Hamedrash Shaarei Yosher Institute,166,182,201,56,19,NY,1,2,2,2,11,1,0,0,0,33,67,7,0,0,0
Beth Medrash Govoha,14,0,1,0,0,NJ,1,2,2,2,13,3,22,34,71,20,50,51,0,5,19
Beth Medrash Meor Yitzchok,0,0,0,10,0,NY,1,2,2,2,21,1,0,2,2,97,2,11,0,0,0
Beth Medrash of Asbury Park,166,182,201,56,19,NJ,1,2,2,2,21,1,0,0,25,75,25,4,0,0,0
Bethany College,11,12,19,0,0,KS,1,2,2,2,33,1,2,5,5,20,34,55,0,0,0
Bethany College,18,13,14,0,0,WV,1,2,2,2,41,1,35,42,43,20,43,52,0,0,20
Bethany Global University,0,0,0,0,0,MN,1,2,2,2,13,1,24,29,29,20,56,16,0,0,2
Bethany Lutheran College,13,16,13,0,0,MN,1,2,2,2,13,1,47,60,62,22,62,54,0,0,12
Bethany Theological Seminary,5,1,2,0,0,IN,1,2,2,2,32,1,22,34,71,20,50,9,0,0,4
Bethel College-North Newton,10,11,10,5,0,KS,1,2,2,2,32,1,30,41,44,20,44,41,0,0,4
Bethel Seminary-San Diego,166,182,201,56,19,CA,1,2,2,2,11,1,22,34,71,20,50,-149,-5,74,60
Bethel University,67,83,31,10,0,MN,1,2,2,2,21,2,64,72,74,20,74,275,0,0,24
Bethel University,20,38,26,9,66,TN,1,2,2,2,32,2,26,34,35,20,35,206,0,0,18
Bethel University,10,25,25,1,0,IN,1,2,2,2,13,2,58,62,63,20,62,101,0,0,20
Bethesda University,0,0,0,0,0,CA,1,2,2,2,11,1,19,24,24,20,24,25,0,0,5
Bethlehem College & Seminary,0,4,8,0,0,MN,1,2,2,2,11,1,50,50,56,20,83,13,0,0,0
Bethune-Cookman University,14,33,68,37,0,FL,1,2,1,2,13,2,14,28,33,8,33,175,0,0,14
Beulah Heights University,0,0,0,8,0,GA,1,2,2,2,11,1,0,4,8,11,7,29,0,0,2
Beverly Hills Design Institute,166,182,201,56,19,CA,1,3,2,2,21,1,0,0,0,25,0,5,0,0,0
Bexley Hall Seabury Western Theological Seminary Federation  Inc.,166,182,201,56,19,IL,1,2,2,2,11,1,22,34,71,20,50,9,0,0,0
Binghamton University,181,231,222,23,91,NY,1,1,2,2,22,4,72,80,82,13,82,825,28,0,44
Biola University,55,104,42,11,0,CA,1,2,2,2,21,3,56,69,71,20,71,212,0,0,6
Birmingham-Southern College,38,23,26,2,13,AL,1,2,2,2,12,2,65,70,71,23,71,110,0,0,15
Birthingway College of Midwifery,166,182,201,56,19,OR,1,2,2,2,13,1,22,34,71,20,50,0,0,0,3
Bismarck State College,10,63,48,0,0,ND,1,1,2,2,13,2,22,34,71,17,48,178,0,0,11
Black Hills State University,29,30,34,19,7,SD,1,1,2,2,32,2,20,36,40,20,39,151,0,0,3
Blackburn College,36,0,0,0,0,IL,1,2,2,2,32,1,37,44,45,20,45,42,0,0,1
