institution,professors,associateprof,assistantprof,instructors,lecturers,state,instlevel,instcontrol,hbcuflag,tribalflag,degofurbanization,instsize,gradrate4yrs,gradrate5yrs,gradrate6yrs,transferrate,gradrate,instructionalstaff,researchstaff,publicservicestaff,academicaffairstaff
Trinity College of Florida,4,1,4,0,0,FL,1,2,2,2,21,1,6,11,11,48,23,16,0,1,6
Trinity College of Nursing & Health Sciences,3,1,3,5,0,IL,1,2,2,2,13,1,0,0,0,20,100,12,0,0,3
Trinity International University-Florida,166,182,201,56,19,FL,1,2,2,2,21,1,22,34,71,20,50,24,0,0,2
Trinity International University-Illinois,24,22,16,4,0,IL,1,2,2,2,21,2,46,52,53,30,53,134,0,0,35
Trinity Law School,2,1,2,0,0,CA,1,2,2,2,11,1,22,34,71,20,50,31,0,0,3
Trinity University,99,88,68,1,10,TX,1,2,2,2,11,2,67,77,79,15,79,292,3,0,38
Trinity Washington University,3,24,33,2,0,DC,1,2,2,2,11,2,22,41,46,27,46,122,0,1,25
Trocaire College,10,3,13,6,0,NY,1,2,2,2,11,2,22,34,71,36,23,72,0,0,20
Troy University,58,154,123,0,142,AL,1,1,2,2,33,4,27,45,50,26,50,624,0,0,186
Truckee Meadows Community College,102,0,0,54,0,NV,1,1,2,2,11,4,22,34,71,10,28,272,2,0,46
Truett McConnell University,13,17,21,3,0,GA,1,2,2,2,32,2,28,34,35,44,35,86,0,0,11
Truman State University,131,35,83,25,4,MO,1,1,2,2,33,2,61,73,75,20,75,288,0,0,17
Tufts University,292,220,249,2,154,MA,1,2,2,2,21,4,89,93,94,5,94,1087,406,0,81
Tulane University of Louisiana,326,306,501,83,224,LA,1,2,2,2,11,4,77,84,86,12,86,1594,244,0,49
Turtle Mountain Community College,0,0,0,47,0,ND,1,2,2,1,43,1,17,17,17,6,43,52,0,0,10
Tusculum University,5,21,34,4,0,TN,1,2,2,2,32,2,30,35,36,20,36,72,0,0,17
Tuskegee University,52,83,86,13,2,AL,1,2,1,2,32,2,28,40,52,20,52,251,9,18,17
Tyler Junior College,319,0,0,0,0,TX,1,1,2,2,12,4,22,34,71,22,22,447,0,0,22
Unification Theological Seminary,166,182,201,56,19,NY,1,2,2,2,11,1,0,0,0,45,0,4,0,0,4
Union Bible College,6,0,0,0,0,IN,1,2,2,2,21,1,60,80,80,20,67,8,0,0,0
Union College,16,17,22,1,1,NE,1,2,2,2,11,1,32,49,56,20,51,76,0,0,14
Union College,77,59,32,28,20,NY,1,2,2,2,13,2,80,85,86,20,86,227,0,0,6
Union College,13,17,13,5,0,KY,1,2,2,2,33,2,9,18,28,44,28,70,0,0,1
Union Institute & University,0,0,0,0,0,OH,1,2,2,2,11,1,25,38,38,20,38,79,0,0,16
Union Presbyterian Seminary,10,8,5,1,0,VA,1,2,2,2,12,1,22,34,71,20,50,26,0,0,0
Union Theological Seminary in the City of New York,8,10,2,0,0,NY,1,2,2,2,11,1,22,34,71,20,50,27,0,0,8
Union University,84,53,72,0,0,TN,1,2,2,2,13,2,57,64,66,27,66,270,0,0,21
United International College,166,182,201,56,19,FL,1,3,2,2,21,1,22,34,71,20,100,9,0,0,2
United Lutheran Seminary,7,5,4,1,0,PA,1,2,2,2,13,1,22,34,71,20,50,18,1,0,5
United States Air Force Academy,63,50,95,20,0,CO,1,1,2,2,31,2,85,87,87,20,87,229,5,0,8
United States Coast Guard Academy,32,18,9,79,0,CT,1,1,2,2,13,2,85,85,86,20,86,151,0,0,41
United States Merchant Marine Academy,25,28,21,33,0,NY,1,1,2,2,21,2,75,82,82,18,82,122,0,0,37
United States Military Academy,53,54,113,40,16,NY,1,1,2,2,31,2,81,84,85,2,85,282,0,0,40
United States Naval Academy,123,102,68,21,0,MD,1,1,2,2,21,2,88,90,90,20,90,331,26,0,33
United States University,0,0,1,7,0,CA,1,3,2,2,11,2,0,0,0,25,0,78,0,0,62
United Talmudical Seminary,16,7,14,15,13,NY,1,2,2,2,11,2,0,44,50,40,50,125,6,4,2
United Theological Seminary,9,2,0,1,0,OH,1,2,2,2,21,1,22,34,71,20,50,14,0,0,2
United Theological Seminary of the Twin Cities,2,2,4,0,0,MN,1,2,2,2,11,1,22,34,71,20,50,8,0,0,2
United Tribes Technical College,0,0,0,37,0,ND,1,2,2,1,23,1,22,34,71,23,10,39,0,0,32
Unitek College,0,0,0,0,0,CA,1,3,2,2,21,2,22,34,71,20,74,73,0,0,38
Unity College,11,11,9,16,0,ME,1,2,2,2,43,2,43,45,46,20,47,86,1,0,38
University at Buffalo,543,536,503,19,71,NY,1,1,2,2,21,5,61,73,75,16,75,1886,35,23,128
University of Advancing Technology,28,0,0,0,0,AZ,1,3,2,2,12,1,33,35,35,4,40,46,0,0,33
University of Akron Main Campus,169,132,55,79,41,OH,1,1,2,2,12,4,4,26,53,20,48,683,0,0,178
University of Alabama at Birmingham,744,695,890,215,0,AL,1,1,2,2,12,5,38,56,61,20,61,2682,0,0,243
University of Alabama in Huntsville,75,97,94,14,73,AL,1,1,2,2,12,3,31,51,57,22,57,415,0,0,2
University of Alaska Anchorage,112,102,172,25,0,AK,1,1,2,2,11,4,13,26,31,17,30,555,55,92,30
University of Alaska Fairbanks,80,91,87,26,1,AK,1,1,2,2,23,3,22,37,43,22,39,374,371,91,35
University of Alaska Southeast,17,28,41,1,0,AK,1,1,2,2,33,2,7,11,14,25,18,111,3,1,4
University of Antelope Valley,0,0,0,10,0,CA,1,3,2,2,21,1,50,50,50,20,66,26,0,0,0
University of Arizona,784,524,497,71,179,AZ,1,1,2,2,11,5,49,62,65,20,65,2263,858,32,707
University of Arizona-Sierra Vista,2,2,19,0,1,AZ,1,1,2,2,13,1,22,34,71,20,50,36,0,0,2
University of Arkansas,333,323,380,215,19,AR,1,1,2,2,13,5,50,66,68,20,68,1329,20,69,346
University of Arkansas at Little Rock,119,94,98,61,0,AR,1,1,2,2,12,3,26,36,40,26,42,452,0,0,163
University of Arkansas at Monticello,24,36,24,69,0,AR,1,1,2,2,33,2,17,24,26,16,36,165,0,0,0
University of Arkansas at Pine Bluff,20,27,53,55,0,AR,1,1,1,2,13,2,24,36,39,25,39,169,17,29,23
University of Arkansas for Medical Sciences,40,51,94,17,0,AR,1,1,2,2,12,2,22,34,71,20,50,219,321,6,947
University of Arkansas System eVersity,166,182,201,56,19,AR,1,1,2,2,12,1,22,34,71,20,50,10,0,0,16
University of Arkansas-Fort Smith,40,47,78,50,0,AR,1,1,2,2,13,3,20,28,31,11,31,262,0,0,72
University of Baltimore,41,59,45,0,35,MD,1,1,2,2,11,2,20,30,34,33,34,221,0,13,4
University of Bridgeport,26,48,30,0,17,CT,1,2,2,2,12,2,29,37,40,20,40,231,0,0,2
University of California-Berkeley,885,345,286,1,312,CA,1,1,2,2,12,5,76,90,92,20,92,2132,1353,43,859
University of California-Davis,1247,510,629,0,290,CA,1,1,2,2,23,5,64,83,86,20,86,2827,1380,10,637
University of California-Hastings College of Law,44,2,0,0,18,CA,1,1,2,2,11,2,22,34,71,20,50,94,17,0,30
University of California-Irvine,932,410,472,47,263,CA,1,1,2,2,11,5,69,83,85,8,85,2265,901,9,500
University of California-Los Angeles,1712,621,1148,369,286,CA,1,1,2,2,11,5,81,90,91,4,91,4524,1262,25,707
University of California-Merced,89,81,121,0,159,CA,1,1,2,2,41,3,45,66,69,26,69,462,104,2,172
University of California-Riverside,374,244,289,3,132,CA,1,1,2,2,11,5,62,75,77,14,77,1104,367,5,343
University of California-San Diego,1232,564,686,0,290,CA,1,1,2,2,11,5,68,84,87,20,87,3010,1466,21,694
University of California-San Francisco,1148,657,987,82,0,CA,1,1,2,2,11,2,22,34,71,20,50,3083,1809,0,103
University of California-Santa Barbara,505,162,215,0,215,CA,1,1,2,2,22,5,69,82,84,20,84,1147,473,1,352
University of California-Santa Cruz,302,121,142,0,118,CA,1,1,2,2,13,4,55,73,76,4,76,765,312,0,341
University of Central Arkansas,101,136,128,65,75,AR,1,1,2,2,13,4,31,42,45,31,46,576,0,0,69
University of Central Florida,359,390,350,200,278,FL,1,1,2,2,21,5,46,68,74,12,74,1776,271,0,112
University of Central Missouri,108,56,81,33,0,MO,1,1,2,2,32,3,31,46,51,28,51,476,0,0,42
University of Central Oklahoma,190,101,119,40,107,OK,1,1,2,2,21,4,12,27,35,32,35,670,0,0,129
University of Charleston,9,28,61,14,0,WV,1,2,2,2,13,2,37,45,46,36,46,150,0,0,44
University of Chicago,870,483,596,103,232,IL,1,2,2,2,11,4,91,94,96,20,96,2540,1731,0,777
University of Cincinnati-Blue Ash College,34,83,48,7,0,OH,1,1,2,2,21,3,22,34,71,71,15,229,0,0,7
University of Cincinnati-Clermont College,32,29,9,1,0,OH,1,1,2,2,21,3,22,34,71,70,20,145,0,0,2
University of Cincinnati-Main Campus,583,666,823,149,0,OH,1,1,2,2,11,5,37,68,72,16,73,2550,163,58,38
University of Colorado Boulder,528,376,338,469,0,CO,1,1,2,2,12,5,50,69,72,16,72,2036,957,6,409
University of Colorado Colorado Springs,79,81,112,185,0,CO,1,1,2,2,11,4,25,41,45,34,45,570,20,18,198
University of Colorado Denver/Anschutz Medical Campus,689,951,1231,1739,0,CO,1,1,2,2,11,5,21,39,44,31,44,4880,832,138,338
University of Connecticut,643,618,709,66,52,CT,1,1,2,2,21,5,73,81,83,9,83,2240,342,43,28
University of Connecticut-Avery Point,166,182,201,56,19,CT,1,1,2,2,22,1,43,58,64,17,64,24,4,0,0
University of Connecticut-Hartford Campus,166,182,201,56,19,CT,1,1,2,2,12,2,37,55,59,22,59,72,11,1,1
University of Connecticut-Stamford,166,182,201,56,19,CT,1,1,2,2,12,2,42,60,65,14,65,24,4,0,0
University of Connecticut-Waterbury Campus,166,182,201,56,19,CT,1,1,2,2,22,1,46,62,65,17,65,24,4,0,0
University of Dallas,18,63,31,31,0,TX,1,2,2,2,12,2,62,68,69,23,69,168,0,0,30
University of Dayton,132,185,124,0,171,OH,1,2,2,2,12,4,63,79,81,20,81,763,0,0,65
University of Delaware,403,379,395,86,0,DE,1,1,2,2,21,5,73,83,84,20,82,1272,0,0,81
University of Denver,219,195,186,1,141,CO,1,2,2,2,11,4,67,74,75,20,75,999,21,0,114
University of Detroit Mercy,67,118,108,14,8,MI,1,2,2,2,11,2,59,72,73,19,73,427,0,0,95
University of Dubuque,22,29,51,4,0,IA,1,2,2,2,13,2,36,44,46,20,46,136,3,0,58
University of East-West Medicine,166,182,201,56,19,CA,1,3,2,2,12,1,22,34,71,20,50,9,0,0,5
University of Evansville,48,55,58,1,1,IN,1,2,2,2,12,2,55,65,67,24,67,205,0,0,28
University of Florida,1061,586,711,0,453,FL,1,1,2,2,12,5,67,87,89,3,89,3053,633,1790,684
University of Florida-Online,0,0,0,0,6,FL,1,1,2,2,12,2,63,63,75,13,75,54,1,0,39
University of Fort Lauderdale,166,182,201,56,19,FL,1,2,2,2,21,1,22,34,71,20,50,4,0,0,5
University of Georgia,727,539,394,66,261,GA,1,1,2,2,12,5,67,83,86,8,87,2197,191,544,636
University of Hartford,89,114,112,8,2,CT,1,2,2,2,12,3,46,55,57,35,55,496,0,0,35
University of Hawaii at Hilo,73,57,37,24,0,HI,1,1,2,2,33,2,15,33,38,20,38,208,0,0,35
University of Hawaii at Manoa,436,324,255,116,0,HI,1,1,2,2,11,4,35,57,62,20,62,1312,179,46,495
University of Hawaii Maui College,9,17,22,22,0,HI,1,1,2,2,13,2,0,0,0,12,25,98,0,0,29
University of Hawaii-West Oahu,27,18,33,8,0,HI,1,1,2,2,21,2,16,35,39,20,39,120,0,0,27
University of Health Sciences and Pharmacy in St. Louis,17,19,28,0,0,MO,1,2,2,2,11,1,79,81,81,14,81,72,17,0,8
University of Holy Cross,18,18,31,2,0,LA,1,2,2,2,11,2,16,25,38,20,38,97,0,0,3
University of Houston,441,354,217,0,88,TX,1,1,2,2,11,5,36,56,62,9,62,1618,85,2,45
University of Houston-Clear Lake,61,104,59,0,30,TX,1,1,2,2,21,3,31,47,52,20,52,280,1,0,10
University of Houston-Downtown,64,108,71,1,93,TX,1,1,2,2,11,4,9,22,30,40,30,470,0,0,2
University of Houston-Victoria,31,43,39,0,9,TX,1,1,2,2,13,2,14,18,19,52,19,155,0,0,0
University of Idaho,159,160,145,52,0,ID,1,1,2,2,32,4,37,56,59,22,59,564,40,147,117
University of Illinois Chicago,573,609,748,138,169,IL,1,1,2,2,11,5,37,59,63,20,63,2533,345,0,49
University of Illinois Springfield,23,84,64,28,3,IL,1,1,2,2,12,2,41,53,55,20,55,239,0,0,37
University of Illinois Urbana-Champaign,869,543,727,90,174,IL,1,1,2,2,13,5,72,84,86,20,86,2527,291,1,575
University of Indianapolis,45,78,151,28,0,IN,1,2,2,2,11,3,51,60,62,26,61,379,0,0,49
University of Iowa,762,757,712,4,172,IA,1,1,2,2,13,5,54,70,72,20,72,2615,299,0,633
University of Kansas,606,667,915,66,129,KS,1,1,2,2,13,5,46,60,63,26,63,2473,876,98,547
University of Kentucky,630,498,405,6,215,KY,1,1,2,2,11,5,47,63,66,20,66,1865,342,747,212
University of La Verne,76,60,72,21,0,CA,1,2,2,2,21,3,53,63,66,20,66,345,0,0,42
University of Louisiana at Lafayette,145,119,148,158,1,LA,1,1,2,2,12,4,22,44,51,20,51,713,72,0,42
University of Louisiana at Monroe,69,68,113,58,0,LA,1,1,2,2,13,3,36,52,56,20,57,357,4,1,25
University of Louisville,263,313,383,89,1,KY,1,1,2,2,11,5,37,56,60,20,60,1392,683,0,51
University of Lynchburg,48,61,67,8,0,VA,1,2,2,2,13,2,47,52,57,14,57,220,0,0,15
University of Maine,178,129,130,4,75,ME,1,1,2,2,23,4,40,53,56,27,56,595,11,37,147
University of Maine at Augusta,26,22,28,1,16,ME,1,1,2,2,32,2,5,14,15,26,19,137,0,2,35
University of Maine at Farmington,37,39,31,1,10,ME,1,1,2,2,33,2,46,59,60,23,60,135,0,0,19
University of Maine at Fort Kent,7,5,15,0,4,ME,1,1,2,2,43,2,28,38,41,29,39,47,0,0,12
University of Maine at Machias,10,8,5,1,1,ME,1,1,2,2,43,1,14,24,27,27,28,32,0,0,0
University of Maine at Presque Isle,12,14,6,1,0,ME,1,1,2,2,41,2,27,32,33,26,31,46,0,0,7
University of Management and Technology,2,0,0,14,6,VA,1,3,2,2,12,1,33,33,33,20,33,24,0,0,0
University of Mary,17,40,95,8,0,ND,1,2,2,2,41,2,46,57,59,13,59,201,0,0,61
University of Mary Hardin-Baylor,62,29,61,11,0,TX,1,2,2,2,23,2,36,48,51,2,51,212,0,0,14
University of Mary Washington,85,79,53,5,27,VA,1,1,2,2,22,2,55,64,65,28,65,280,0,0,17
University of Maryland Eastern Shore,48,75,51,1,36,MD,1,1,1,2,31,2,20,36,41,38,41,240,9,0,0
University of Maryland Global Campus,122,68,13,0,0,MD,1,1,2,2,21,5,4,10,11,45,18,1414,0,0,87
University of Maryland  Baltimore,410,352,902,165,4,MD,1,1,2,2,11,3,22,34,71,20,50,2190,488,0,28
University of Maryland-Baltimore County,160,157,117,7,123,MD,1,1,2,2,21,4,44,64,69,15,70,682,161,0,8
University of Maryland-College Park,707,462,302,5,373,MD,1,1,2,2,21,5,70,85,87,8,87,2071,1580,0,183
University of Massachusetts Medical School Worcester,210,216,550,51,0,MA,1,1,2,2,12,2,22,34,71,20,50,1361,517,1,0
University of Massachusetts-Amherst,457,353,294,5,343,MA,1,1,2,2,21,5,76,82,83,11,83,1555,276,25,355
University of Massachusetts-Boston,121,233,121,0,193,MA,1,1,2,2,11,4,25,43,49,23,49,820,0,0,50
University of Massachusetts-Dartmouth,123,108,67,0,99,MA,1,1,2,2,22,3,34,49,52,32,52,446,2,0,29
University of Massachusetts-Lowell,148,157,152,10,130,MA,1,1,2,2,21,4,44,66,69,20,69,754,38,0,9
University of Memphis,197,255,243,191,0,TN,1,1,2,2,11,5,28,45,52,17,52,1040,104,0,352
University of Miami,595,336,233,1,286,FL,1,2,2,2,13,4,72,82,83,20,83,1545,184,1057,183
University of Michigan-Ann Arbor,1737,1073,1463,163,725,MI,1,1,2,2,12,5,81,92,93,20,93,7210,0,0,799
University of Michigan-Dearborn,86,120,65,0,83,MI,1,1,2,2,13,3,18,46,55,27,55,405,5,0,86
University of Michigan-Flint,40,99,61,6,67,MI,1,1,2,2,13,3,14,31,38,20,38,349,0,0,61
University of Minnesota-Crookston,8,12,15,3,0,MN,1,1,2,2,32,2,39,50,51,36,51,76,0,0,9
University of Minnesota-Duluth,101,153,151,80,0,MN,1,1,2,2,13,4,43,59,61,30,61,516,44,4,20
University of Minnesota-Morris,24,39,27,0,0,MN,1,1,2,2,33,2,46,58,60,26,60,117,0,0,3
University of Minnesota-Rochester,0,6,7,0,0,MN,1,1,2,2,12,1,52,54,54,44,54,40,0,0,0
University of Minnesota-Twin Cities,1213,886,1155,42,0,MN,1,1,2,2,11,5,71,83,84,10,84,4071,1490,329,358
University of Mississippi,466,498,615,235,55,MS,1,1,2,2,33,5,48,64,67,20,67,1985,0,0,143
University of Missouri-Columbia,521,579,639,189,5,MO,1,1,2,2,12,5,50,71,73,20,73,2151,96,168,258
University of Missouri-Kansas City,157,225,163,25,15,MO,1,1,2,2,11,4,27,47,51,20,54,756,12,0,56
University of Missouri-St Louis,117,126,141,0,0,MO,1,1,2,2,21,4,34,51,56,20,56,479,11,0,12
University of Mobile,12,23,27,6,0,AL,1,2,2,2,41,2,32,46,48,20,49,99,0,0,0
University of Montevallo,42,54,32,14,0,AL,1,1,2,2,21,2,35,52,54,25,54,170,0,0,16
University of Mount Olive,14,24,30,2,0,NC,1,2,2,2,31,2,37,44,44,23,46,101,0,0,30
University of Mount Union,39,47,50,8,0,OH,1,2,2,2,31,2,58,65,66,23,66,176,0,0,17
University of Nebraska at Kearney,97,89,67,2,60,NE,1,1,2,2,32,3,33,53,58,26,59,362,0,0,45
University of Nebraska at Omaha,121,146,135,99,37,NE,1,1,2,2,11,4,25,44,50,27,49,720,12,7,30
University of Nebraska Medical Center,92,139,245,99,0,NE,1,1,2,2,11,2,22,34,71,20,50,641,255,590,44
University of Nebraska-Lincoln,432,393,397,0,96,NE,1,1,2,2,11,5,42,64,67,10,66,1415,295,201,211
University of Nevada-Las Vegas,310,248,166,10,107,NV,1,1,2,2,12,5,17,36,44,20,44,1495,112,0,85
University of Nevada-Reno,200,214,264,0,180,NV,1,1,2,2,11,5,39,59,60,20,60,1104,222,27,58
University of New England,59,106,75,2,53,ME,1,2,2,2,22,3,56,61,62,36,61,377,26,0,137
University of New Hampshire at Manchester,3,16,12,0,11,NH,1,1,2,2,12,1,55,64,66,20,58,64,0,0,6
University of New Hampshire-Franklin Pierce School of Law,19,1,0,0,5,NH,1,1,2,2,31,1,22,34,71,20,50,39,0,0,2
University of New Hampshire-Main Campus,190,211,178,0,155,NH,1,1,2,2,23,4,69,75,77,20,76,820,105,0,199
University of New Haven,37,74,50,0,66,CT,1,2,2,2,21,3,55,63,64,20,65,366,0,0,41
University of New Mexico-Main Campus,481,534,641,48,209,NM,1,1,2,2,11,5,34,50,54,20,54,2022,51,61,216
University of New Orleans,83,63,63,54,0,LA,1,1,2,2,11,3,26,37,41,33,41,304,5,210,51
University of North Alabama,80,68,71,0,53,AL,1,1,2,2,13,3,27,45,50,25,50,324,0,0,55
University of North Carolina at Asheville,68,57,44,1,54,NC,1,1,2,2,13,2,47,60,62,24,62,251,0,0,23
University of North Carolina at Chapel Hill,733,512,399,47,214,NC,1,1,2,2,13,5,85,90,91,5,91,2087,1531,1192,478
University of North Carolina at Charlotte,299,292,261,0,242,NC,1,1,2,2,11,5,38,61,65,23,65,1255,42,0,122
University of North Carolina at Greensboro,210,221,250,8,169,NC,1,1,2,2,11,4,37,54,59,26,59,982,0,1,216
University of North Carolina at Pembroke,73,69,98,1,74,NC,1,1,2,2,32,3,23,39,42,37,42,357,0,0,42
University of North Carolina School of the Arts,35,52,35,0,0,NC,1,1,2,2,12,2,71,72,73,19,72,164,0,0,11
University of North Carolina Wilmington,186,188,194,0,157,NC,1,1,2,2,12,4,57,72,74,20,74,835,5,0,82
University of North Dakota,153,182,184,65,35,ND,1,1,2,2,13,4,35,57,61,27,61,841,5,0,56
University of North Florida,96,162,123,130,31,FL,1,1,2,2,11,4,39,56,61,6,66,658,1,0,28
University of North Georgia,135,154,213,1,187,GA,1,1,2,2,32,4,31,48,52,35,39,810,0,0,180
University of North Texas,327,247,214,43,291,TX,1,1,2,2,12,5,37,52,57,21,57,1278,73,4,180
University of North Texas at Dallas,11,19,37,7,43,TX,1,1,2,2,11,2,24,34,37,32,37,181,4,20,16
University of North Texas Health Science Center,56,60,110,14,0,TX,1,1,2,2,11,2,22,34,71,20,50,255,44,0,63
University of Northern Colorado,180,111,101,12,37,CO,1,1,2,2,12,4,33,49,52,33,52,538,0,0,56
University of Northwestern Ohio,5,5,8,80,0,OH,1,2,2,2,23,2,37,45,45,9,62,120,0,0,23
University of Northwestern-St Paul,26,23,25,2,0,MN,1,2,2,2,21,2,57,65,67,20,69,145,0,0,73
University of Notre Dame,419,281,183,2,0,IN,1,2,2,2,21,4,93,96,97,20,97,1263,272,0,115
University of Oklahoma-Health Sciences Center,202,212,448,373,2,OK,1,1,2,2,11,2,22,34,71,20,50,1388,0,0,62
University of Oklahoma-Norman Campus,408,368,269,139,118,OK,1,1,2,2,22,5,46,68,72,20,72,1395,363,0,408
University of Oregon,286,281,202,184,18,OR,1,1,2,2,12,5,58,71,74,15,74,1085,306,134,229
University of Pennsylvania,954,360,411,178,322,PA,1,2,2,2,11,5,86,94,96,20,96,2344,1563,2542,257
University of Phoenix-Arizona,0,0,0,0,0,AZ,1,3,2,2,11,5,0,4,8,20,12,1407,0,0,31
University of Phoenix-California,166,182,201,56,19,CA,1,3,2,2,12,2,2,14,24,20,25,59,0,0,1
University of Phoenix-Florida,166,182,201,56,19,FL,1,3,2,2,21,1,0,6,11,20,17,-149,-5,74,60
University of Phoenix-Georgia,166,182,201,56,19,GA,1,3,2,2,12,1,0,4,12,20,15,-149,-5,74,60
University of Phoenix-Hawaii,166,182,201,56,19,HI,1,3,2,2,21,1,0,4,19,20,19,-149,-5,74,60
University of Phoenix-Illinois,166,182,201,56,19,IL,1,3,2,2,11,1,0,7,13,20,13,-149,-5,74,60
University of Phoenix-Michigan,166,182,201,56,19,MI,1,3,2,2,13,-2,22,34,71,20,50,-149,-5,74,60
University of Phoenix-Nevada,166,182,201,56,19,NV,1,3,2,2,21,1,0,4,9,20,9,-149,-5,74,60
University of Phoenix-New Jersey,166,182,201,56,19,NJ,1,3,2,2,11,1,0,0,0,20,17,-149,-5,74,60
University of Phoenix-New Mexico,166,182,201,56,19,NM,1,3,2,2,11,1,0,14,24,20,24,-149,-5,74,60
University of Phoenix-North Carolina,166,182,201,56,19,NC,1,3,2,2,11,1,0,0,0,20,0,-149,-5,74,60
University of Phoenix-Pennsylvania,166,182,201,56,19,PA,1,3,2,2,11,1,0,9,9,20,9,-149,-5,74,60
University of Phoenix-Texas,166,182,201,56,19,TX,1,3,2,2,11,1,2,10,13,20,13,15,0,0,0
University of Phoenix-Utah,166,182,201,56,19,UT,1,3,2,2,21,1,0,0,0,20,0,-149,-5,74,60
University of Phoenix-Virginia,166,182,201,56,19,VA,1,3,2,2,11,-2,22,34,71,20,50,-149,-5,74,60
University of Phoenix-Washington,166,182,201,56,19,WA,1,3,2,2,21,1,0,0,0,20,0,-149,-5,74,60
University of Pikeville,30,37,36,5,0,KY,1,2,2,2,33,2,23,31,33,46,32,127,0,0,20
University of Pittsburgh-Bradford,8,25,30,6,0,PA,1,1,2,2,33,2,35,42,44,38,43,77,0,1,1
University of Pittsburgh-Greensburg,7,31,17,25,0,PA,1,1,2,2,21,2,25,35,36,55,36,85,0,0,0
University of Pittsburgh-Johnstown,17,53,41,22,0,PA,1,1,2,2,23,2,37,52,54,35,55,135,0,0,0
University of Pittsburgh-Pittsburgh Campus,1036,1040,1733,192,260,PA,1,1,2,2,11,5,69,82,84,13,84,4491,744,68,139
University of Portland,48,84,62,63,14,OR,1,2,2,2,11,2,76,83,84,13,84,364,0,0,13
University of Providence,11,11,10,4,1,MT,1,2,2,2,13,2,28,38,38,20,38,59,0,0,7
University of Puget Sound,122,38,49,17,0,WA,1,2,2,2,12,2,68,75,77,20,77,243,0,0,36
University of Redlands,121,30,22,1,11,CA,1,2,2,2,13,2,63,70,71,8,71,324,0,0,57
University of Redlands Graduate School of Theology,166,182,201,56,19,CA,1,2,2,2,21,-2,22,34,71,20,50,-149,-5,74,60
University of Rhode Island,267,158,188,0,159,RI,1,1,2,2,21,4,53,66,69,20,71,889,18,0,269
University of Richmond,126,134,75,1,1,VA,1,2,2,2,12,2,82,87,88,9,88,494,5,0,106
University of Rio Grande,14,6,37,11,0,OH,1,2,2,2,42,2,13,16,19,9,25,107,0,0,0
University of Rochester,687,653,809,231,30,NY,1,2,2,2,12,4,75,84,86,20,86,2589,452,0,194
University of Saint Francis-Fort Wayne,14,23,62,18,0,IN,1,2,2,2,11,2,41,48,50,20,51,178,0,0,30
University of Saint Joseph,18,47,58,4,0,CT,1,2,2,2,21,2,48,55,56,31,56,203,1,0,148
University of Saint Katherine,0,0,6,0,1,CA,1,2,2,2,21,1,22,34,71,20,50,16,0,0,1
University of Saint Mary,8,21,17,26,0,KS,1,2,2,2,31,2,38,55,56,36,56,94,1,0,9
University of San Diego,206,147,113,16,0,CA,1,2,2,2,11,3,69,79,80,20,80,656,5,12,166
University of San Francisco,148,156,137,12,0,CA,1,2,2,2,11,4,63,71,71,20,71,671,4,0,0
University of Science and Arts of Oklahoma,17,14,9,6,0,OK,1,1,2,2,32,1,32,40,41,24,41,46,0,0,15
University of Scranton,93,77,69,2,2,PA,1,2,2,2,13,2,74,81,82,20,82,320,0,1,46
University of Sioux Falls,11,22,20,2,0,SD,1,2,2,2,12,2,46,55,56,20,58,131,0,0,3
University of South Alabama,163,178,338,121,1,AL,1,1,2,2,12,4,26,40,45,33,45,922,0,0,179
University of South Carolina Aiken,30,52,43,33,0,SC,1,1,2,2,21,2,24,37,41,44,41,189,0,0,7
University of South Carolina Beaufort,11,32,26,25,0,SC,1,1,2,2,31,2,23,32,34,45,34,116,0,0,1
University of South Carolina-Columbia,480,530,433,220,26,SC,1,1,2,2,12,5,65,76,78,16,78,1903,243,59,31
University of South Carolina-Upstate,42,57,64,69,0,SC,1,1,2,2,22,3,30,43,47,34,47,296,0,0,5
University of South Dakota,78,91,116,96,35,SD,1,1,2,2,32,3,43,57,60,25,60,501,5,0,37
University of South Florida,511,534,512,455,0,FL,1,1,2,2,11,5,59,71,74,11,74,2326,348,0,549
University of South Florida-Sarasota-Manatee,166,182,201,56,19,FL,1,1,2,2,21,-2,22,34,71,20,50,-149,-5,74,60
University of South Florida-St Petersburg,166,182,201,56,19,FL,1,1,2,2,11,-2,22,34,71,20,50,-149,-5,74,60
University of Southern California,1039,685,508,1,170,CA,1,2,2,2,11,5,79,90,92,20,92,2838,273,1999,81
University of Southern Indiana,48,116,110,75,0,IN,1,1,2,2,22,4,36,49,52,25,53,411,0,0,85
University of Southern Maine,82,66,93,1,47,ME,1,1,2,2,13,3,20,32,36,38,36,470,10,0,55
University of Southern Mississippi,153,191,185,78,22,MS,1,1,2,2,13,4,31,46,50,20,50,684,52,0,40
University of St Francis,26,23,28,19,0,IL,1,2,2,2,21,2,38,59,60,20,60,159,0,0,21
University of St Thomas,27,46,43,12,0,TX,1,2,2,2,11,2,36,61,66,20,66,198,0,0,8
University of St Thomas,133,164,65,6,48,MN,1,2,2,2,11,3,70,79,80,15,80,531,0,0,63
University of St. Augustine for Health Sciences,7,26,112,45,1,CA,1,3,2,2,21,2,22,34,71,20,50,366,0,0,88
